lstm_units,dense_units,dropout,recurrent_dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,16,0.2,0.1,0.001,0.0001,13,7,0.3086734693877551,0.32759016001910674,0.3296095899783585,0.32759016001910674,0.27250227165907775,0.3362979056949808
64,32,0.3,0.1,0.001,0.0001,17,11,0.3903061224489796,0.356122237765419,0.351464184524607,0.356122237765419,0.3242826699246271,0.43067347882250784
32,16,0.4,0.2,0.0005,0.001,8,2,0.399234693877551,0.3294862783900281,0.3306159100276747,0.3294862783900281,0.3098759433655185,0.43170170696999666
