accuracy,loss,val_accuracy,val_loss,val_macro_f1,epoch
0.3302578032016754,1.1098518371582031,0.21938775479793549,1.117469310760498,0.2151838461776329,1
0.33378562331199646,1.1064996719360352,0.21938775479793549,1.1085318326950073,0.2120053420247169,2
0.34545454382896423,1.1052523851394653,0.22959183156490326,1.0994993448257446,0.21846321704096672,3
0.37286296486854553,1.1053396463394165,0.23852041363716125,1.1075936555862427,0.22687325138509185,4
0.3085481822490692,1.103388786315918,0.1926020383834839,1.1034059524536133,0.1772354357578719,5
0.32862958312034607,1.1050729751586914,0.24744898080825806,1.1009304523468018,0.2342948513161279,6
0.36010855436325073,1.1043531894683838,0.23341836035251617,1.1079822778701782,0.21864620787416955,7
0.36960652470588684,1.1036880016326904,0.3035714328289032,1.1017937660217285,0.2696734287560259,8
0.30773404240608215,1.1026511192321777,0.19770407676696777,1.107383370399475,0.1872207099482075,9
0.2952510118484497,1.1033451557159424,0.2283163219690323,1.1079516410827637,0.21969852756830455,10
0.2545454502105713,1.1034505367279053,0.39030611515045166,1.1003236770629883,0.3242826699246271,11
0.2504749000072479,1.1043274402618408,0.2015306055545807,1.1057382822036743,0.16142304618141048,12
0.27951154112815857,1.1028870344161987,0.3035714328289032,1.1014435291290283,0.2706303405045856,13
0.31397557258605957,1.1018210649490356,0.3227040767669678,1.0989902019500732,0.2776964664978705,14
0.3080054223537445,1.1018455028533936,0.2729591727256775,1.1011773347854614,0.24888829667371595,15
0.3175033926963806,1.1021262407302856,0.28316327929496765,1.1017138957977295,0.25325752191423834,16
0.34084123373031616,1.0994948148727417,0.3316326439380646,1.101582407951355,0.2840572324535759,17
