split_scheme,seed,lstm_units,dense_units,dropout,recurrent_dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,32.0,16.0,0.4,0.2,0.0005,0.001,7.0,1.0,0.37755102040816324,0.32941963219488896,0.32976549845568126,0.32941963219488896,0.3051868349651014,0.41897640516387075
Grouped-random,52,32.0,16.0,0.4,0.2,0.0005,0.001,11.0,5.0,0.461734693877551,0.3493306947808978,0.36547597427333695,0.3493306947808978,0.32722383649539527,0.48661515019045826
Grouped-random,62,64.0,32.0,0.3,0.1,0.001,0.0001,17.0,11.0,0.3903061224489796,0.356122237765419,0.351464184524607,0.356122237765419,0.3242826699246271,0.43067347882250784
Spatial holdout,42,32.0,16.0,0.4,0.2,0.0005,0.001,12.0,6.0,0.3684863523573201,0.37196599477467474,0.36406165978667054,0.37196599477467474,0.32076571518566976,0.408082876899186
Spatial holdout,52,32.0,16.0,0.2,0.1,0.001,0.0001,7.0,1.0,0.4838709677419355,0.3657671255747632,0.36087124846403745,0.3657671255747632,0.3424601248749856,0.5005386380538683
Spatial holdout,62,32.0,16.0,0.4,0.2,0.0005,0.001,9.0,3.0,0.5099255583126551,0.34901231726778964,0.3467105623859424,0.34901231726778964,0.34549820725191166,0.5199272550988316
