Model,Split,Accuracy,Balanced Accuracy,Macro-F1
Mantis-8M + MLP head,grouped,0.457 ± 0.037,0.329 ± 0.034,0.318 ± 0.024
Mantis-8M + MLP head,spatial,0.469 ± 0.011,0.311 ± 0.012,0.308 ± 0.006
