Split,Seed,Accuracy,Balanced Accuracy,Macro-F1,Validation Macro-F1,Best Epoch,Best Config
grouped,42,0.4258793969849246,0.3062012390756991,0.29900642729590093,0.3412370717270899,18,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
grouped,52,0.4472361809045226,0.3135889282323653,0.3101730769230769,0.360926786478521,15,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
grouped,62,0.49748743718592964,0.36773829721716284,0.3441459923187038,0.3517479937727188,1,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
spatial,42,0.4669312169312169,0.323914019245686,0.31414801168118495,0.32897457534717006,1,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
spatial,52,0.458994708994709,0.3065173248360272,0.3059340351037912,0.33572124435258227,3,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
spatial,62,0.4801587301587302,0.3014442906367794,0.30299116543426596,0.3356618491834787,5,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
