station_id,timestamp,row_count
100001,2025-06-27 00:00:00,4
100001,2025-08-29 05:00:00,4
100001,2025-09-27 13:00:00,5
100001,2025-10-21 00:00:00,2
10011,2025-01-08 19:00:00,2
10011,2025-01-17 21:00:00,2
10011,2025-01-18 23:00:00,5
10011,2025-03-03 19:00:00,2
10011,2025-03-13 19:00:00,8
10011,2025-03-13 20:00:00,6
10011,2025-03-13 21:00:00,5
10011,2025-03-13 22:00:00,2
10011,2025-03-18 12:00:00,5
10011,2025-03-18 13:00:00,2
10011,2025-03-18 14:00:00,2
10011,2025-03-19 02:00:00,4
10011,2025-03-21 01:00:00,5
10011,2025-03-21 02:00:00,3
10011,2025-03-21 03:00:00,2
10011,2025-03-28 07:00:00,2
22001,2025-01-05 05:00:00,2
22001,2025-03-16 10:00:00,2
23067,2025-01-06 03:00:00,2
23067,2025-01-07 04:00:00,2
23067,2025-01-10 16:00:00,12
23067,2025-01-10 17:00:00,7
23067,2025-01-10 18:00:00,6
23067,2025-01-10 19:00:00,5
23067,2025-01-10 20:00:00,3
23067,2025-01-21 05:00:00,2
23067,2025-01-24 04:00:00,2
23067,2025-03-05 21:00:00,2
23067,2025-03-10 03:00:00,2
23067,2025-03-11 01:00:00,11
23067,2025-03-11 02:00:00,7
23067,2025-03-11 03:00:00,5
23067,2025-03-11 04:00:00,5
23067,2025-03-11 05:00:00,3
23067,2025-03-11 06:00:00,2
23067,2025-03-14 04:00:00,4
23067,2025-03-27 22:00:00,2
23067,2025-04-08 06:00:00,3
23067,2025-04-09 12:00:00,2
23067,2025-04-15 05:00:00,2
23067,2025-04-29 11:00:00,6
23067,2025-04-29 12:00:00,4
23067,2025-04-29 13:00:00,3
23067,2025-04-29 14:00:00,3
23067,2025-04-30 07:00:00,2
23067,2025-04-30 21:00:00,2
23067,2025-05-06 23:00:00,2
23067,2025-05-15 21:00:00,5
23067,2025-05-17 03:00:00,3
23067,2025-05-23 01:00:00,3
23067,2025-05-26 20:00:00,2
23067,2025-06-05 10:00:00,2
23067,2025-06-09 23:00:00,4
23067,2025-06-10 00:00:00,2
23067,2025-06-11 15:00:00,3
23067,2025-06-16 22:00:00,4
23067,2025-06-27 05:00:00,5
23067,2025-06-27 06:00:00,3
23067,2025-06-27 07:00:00,2
23067,2025-07-06 21:00:00,4
23067,2025-07-13 20:00:00,2
23067,2025-07-31 03:00:00,2
23067,2025-08-10 22:00:00,3
23067,2025-08-31 03:00:00,2
23067,2025-09-04 05:00:00,2
23067,2025-09-11 21:00:00,4
23067,2025-09-12 08:00:00,4
23067,2025-09-16 18:00:00,2
23067,2025-09-20 20:00:00,2
23067,2025-09-22 05:00:00,5
23067,2025-09-22 06:00:00,2
23067,2025-09-27 03:00:00,4
23067,2025-10-13 04:00:00,3
23067,2025-10-16 05:00:00,2
23067,2025-10-17 09:00:00,3
23067,2025-10-18 09:00:00,2
23067,2025-10-21 00:00:00,2
23067,2025-10-27 12:00:00,10
23067,2025-10-27 13:00:00,4
23067,2025-10-27 14:00:00,4
23067,2025-10-29 23:00:00,4
23067,2025-10-30 02:00:00,4
23067,2025-11-06 19:00:00,3
23067,2025-11-23 19:00:00,7
23067,2025-11-23 20:00:00,2
23067,2025-11-25 04:00:00,3
23067,2025-12-01 11:00:00,2
23067,2025-12-07 07:00:00,2
23067,2025-12-24 07:00:00,2
29005,2025-01-20 19:00:00,3
29005,2025-04-07 08:00:00,4
29005,2025-04-10 09:00:00,3
29005,2025-04-29 01:00:00,3
29005,2025-05-15 21:00:00,7
29005,2025-05-15 22:00:00,3
29005,2025-05-22 07:00:00,3
29005,2025-06-02 08:00:00,2
29005,2025-06-06 04:00:00,4
29005,2025-06-17 17:00:00,2
29005,2025-06-23 05:00:00,5
29005,2025-07-01 03:00:00,2
29005,2025-07-06 01:00:00,3
29005,2025-08-07 22:00:00,9
29005,2025-08-07 23:00:00,4
29005,2025-08-22 08:00:00,3
29005,2025-09-05 05:00:00,4
29005,2025-09-24 14:00:00,3
29005,2025-10-15 20:00:00,2
29005,2025-10-19 22:00:00,2
29005,2025-10-21 00:00:00,2
29005,2025-10-28 22:00:00,5
29005,2025-11-19 18:00:00,4
29005,2025-11-19 19:00:00,2
29005,2025-11-24 11:00:00,2
29005,2025-11-30 15:00:00,5
29005,2025-12-21 23:00:00,7
29005,2025-12-22 00:00:00,2
29005,2025-12-27 18:00:00,3
29005,2025-12-27 20:00:00,4
29005,2025-12-27 21:00:00,3
29005,2025-12-27 22:00:00,3
29005,2025-12-27 23:00:00,2
33014,2025-01-04 00:00:00,2
33014,2025-01-06 07:00:00,2
33014,2025-01-28 00:00:00,2
33014,2025-01-30 20:00:00,2
33014,2025-03-05 16:00:00,3
33014,2025-03-06 06:00:00,4
33014,2025-03-09 23:00:00,3
33014,2025-03-11 21:00:00,2
33014,2025-03-12 11:00:00,4
33014,2025-03-12 12:00:00,3
33014,2025-03-18 21:00:00,3
33014,2025-03-25 03:00:00,13
33014,2025-03-25 04:00:00,11
