station_id,timestamp,total_flow,lane_count,road_functional_hierarchy,distance_to_intersection,incident_id,is_major_incident,impact_sequence_hour,precipitation
100001,2025-10-21,184.0,TwoOrMoreLanes,Primary Road,80,NO_INCIDENT,0.0,-1.0,0.0
100001,2025-10-21,240.0,TwoOrMoreLanes,Primary Road,80,NO_INCIDENT,0.0,-1.0,0.0
23067,2025-10-21,20.0,TwoOrMoreLanes,Local Road,100,NO_INCIDENT,0.0,-1.0,0.0
23067,2025-10-21,201.0,TwoOrMoreLanes,Local Road,100,NO_INCIDENT,0.0,-1.0,0.0
29005,2025-10-21,58.0,TwoOrMoreLanes,Arterial Road,20,NO_INCIDENT,0.0,-1.0,0.0
29005,2025-10-21,669.0,TwoOrMoreLanes,Arterial Road,20,NO_INCIDENT,0.0,-1.0,0.0
34016,2025-10-21,0.0,TwoOrMoreLanes,Arterial Road,90,NO_INCIDENT,0.0,-1.0,0.0
34016,2025-10-21,50.0,TwoOrMoreLanes,Arterial Road,90,NO_INCIDENT,0.0,-1.0,0.0
47024,2025-10-21,39.0,TwoOrMoreLanes,Primary Road,30,NO_INCIDENT,0.0,-1.0,0.0
47024,2025-10-21,800.0,TwoOrMoreLanes,Primary Road,30,NO_INCIDENT,0.0,-1.0,0.0
50260,2025-10-21,40.0,TwoOrMoreLanes,Arterial Road,110,NO_INCIDENT,0.0,-1.0,0.0
50260,2025-10-21,339.0,TwoOrMoreLanes,Arterial Road,110,NO_INCIDENT,0.0,-1.0,0.0
53003,2025-10-21,36.0,TwoOrMoreLanes,Primary Road,10,NO_INCIDENT,0.0,-1.0,0.0
53003,2025-10-21,127.0,TwoOrMoreLanes,Primary Road,10,NO_INCIDENT,0.0,-1.0,0.0
53004,2025-10-21,60.0,TwoOrMoreLanes,Primary Road,40,NO_INCIDENT,0.0,-1.0,0.0
53004,2025-10-21,126.0,TwoOrMoreLanes,Primary Road,40,NO_INCIDENT,0.0,-1.0,0.0
55049,2025-10-21,14.0,TwoOrMoreLanes,Arterial Road,20,NO_INCIDENT,0.0,-1.0,0.0
55049,2025-10-21,47.0,TwoOrMoreLanes,Arterial Road,20,NO_INCIDENT,0.0,-1.0,0.0
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250.0-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250-webtirf,0.0,1.0,18.8075
57025,2025-10-21,2.0,TwoOrMoreLanes,Arterial Road,70,253250-webtirf,0.0,1.0,18.8075
