n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
300,10.0,5,10,sqrt,balanced,0.48596938775510207,0.32439227995951186,0.32180736742140253,0.32439227995951186,0.31611251177616645,0.4938104138923183
300,10.0,5,10,sqrt,balanced_subsample,0.48086734693877553,0.3244282188633753,0.32055280959327576,0.3244282188633753,0.31529640256440555,0.4896604266702501
300,10.0,5,10,0.5,balanced,0.4897959183673469,0.3250032413251902,0.32307837545737467,0.3250032413251902,0.3169829762494684,0.4955296233759863
300,10.0,5,10,0.5,balanced_subsample,0.47959183673469385,0.312790837854129,0.30130809952052123,0.312790837854129,0.3009364534079599,0.4847296088826002
300,10.0,5,20,sqrt,balanced,0.45535714285714285,0.32540971487711395,0.32395454305753313,0.32540971487711395,0.31568153792531006,0.47332493527718184
300,10.0,5,20,sqrt,balanced_subsample,0.4630102040816326,0.33149794716071285,0.3322607613349229,0.33149794716071285,0.32317653563987875,0.47964460799871367
300,10.0,5,20,0.5,balanced,0.45153061224489793,0.3122774574362824,0.3111719851081852,0.3122774574362824,0.3048253126821851,0.46792267543951643
300,10.0,5,20,0.5,balanced_subsample,0.4630102040816326,0.32256712955065,0.3244252125629013,0.32256712955065,0.3174541518796336,0.4786733889520133
300,10.0,10,10,sqrt,balanced,0.4375,0.31764349972135975,0.3181397402063123,0.31764349972135975,0.30872846871447884,0.4589669800890042
300,10.0,10,10,sqrt,balanced_subsample,0.43494897959183676,0.3140709907082011,0.3140310612504748,0.3140709907082011,0.30424877234448516,0.45640355890409295
300,10.0,10,10,0.5,balanced,0.45153061224489793,0.3232859076279186,0.32452216746162127,0.3232859076279186,0.31546750352582503,0.4696359177221888
300,10.0,10,10,0.5,balanced_subsample,0.4630102040816326,0.3325367634514995,0.3361531986531987,0.3325367634514995,0.3259026150760173,0.4800244816938945
300,10.0,10,20,sqrt,balanced,0.4375,0.31764349972135975,0.3181397402063123,0.31764349972135975,0.30872846871447884,0.4589669800890042
300,10.0,10,20,sqrt,balanced_subsample,0.43494897959183676,0.3140709907082011,0.3140310612504748,0.3140709907082011,0.30424877234448516,0.45640355890409295
300,10.0,10,20,0.5,balanced,0.45153061224489793,0.3232859076279186,0.32452216746162127,0.3232859076279186,0.31546750352582503,0.4696359177221888
300,10.0,10,20,0.5,balanced_subsample,0.4630102040816326,0.3325367634514995,0.3361531986531987,0.3325367634514995,0.3259026150760173,0.4800244816938945
300,10.0,20,10,sqrt,balanced,0.39413265306122447,0.3282463862067397,0.32521505885770485,0.3282463862067397,0.3073657358432664,0.4235981277439427
300,10.0,20,10,sqrt,balanced_subsample,0.4005102040816326,0.33139104029479,0.3291986113797856,0.33139104029479,0.3112377746858704,0.43024867013463863
300,10.0,20,10,0.5,balanced,0.40816326530612246,0.3326129630261467,0.3299530914833934,0.3326129630261467,0.3144883075297196,0.43804209377773323
300,10.0,20,10,0.5,balanced_subsample,0.413265306122449,0.3279477293664062,0.3272624803390336,0.3279477293664062,0.3117999953261616,0.44303703340166123
300,10.0,20,20,sqrt,balanced,0.39413265306122447,0.3282463862067397,0.32521505885770485,0.3282463862067397,0.3073657358432664,0.4235981277439427
300,10.0,20,20,sqrt,balanced_subsample,0.4005102040816326,0.33139104029479,0.3291986113797856,0.33139104029479,0.3112377746858704,0.43024867013463863
300,10.0,20,20,0.5,balanced,0.40816326530612246,0.3326129630261467,0.3299530914833934,0.3326129630261467,0.3144883075297196,0.43804209377773323
300,10.0,20,20,0.5,balanced_subsample,0.413265306122449,0.3279477293664062,0.3272624803390336,0.3279477293664062,0.3117999953261616,0.44303703340166123
300,20.0,5,10,sqrt,balanced,0.5089285714285714,0.3183254290490975,0.30561590033813163,0.3183254290490975,0.3081344593201468,0.5038898730778346
300,20.0,5,10,sqrt,balanced_subsample,0.5076530612244898,0.3151448360571838,0.3036956771754287,0.3151448360571838,0.3050777357493275,0.5017813906362699
300,20.0,5,10,0.5,balanced,0.5191326530612245,0.32567152296791657,0.33001829813946654,0.32567152296791657,0.3171088455445706,0.5111625863966224
300,20.0,5,10,0.5,balanced_subsample,0.5178571428571429,0.31890045151091245,0.3088355891430995,0.31890045151091245,0.3082891958961443,0.5086525785913462
300,20.0,5,20,sqrt,balanced,0.47831632653061223,0.3155153707052441,0.3121781451761916,0.3155153707052441,0.30894853159930297,0.48553008239506434
