n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
300,10.0,5,10,sqrt,balanced,0.4846938775510204,0.324000363938267,0.31629613747538277,0.324000363938267,0.3122466657322665,0.48976467068572344
300,10.0,5,10,sqrt,balanced_subsample,0.4846938775510204,0.3188970395896596,0.31469517724215007,0.3188970395896596,0.30876803973211536,0.49037932541471135
300,10.0,5,10,0.5,balanced,0.4897959183673469,0.31654645330785763,0.3042276027069268,0.31654645330785763,0.30546184694798717,0.49299665205597587
300,10.0,5,10,0.5,balanced_subsample,0.4961734693877551,0.32351860065736343,0.31020327415257304,0.32351860065736343,0.31048611261166054,0.49859204804035373
300,10.0,5,20,sqrt,balanced,0.45408163265306123,0.32860827732095943,0.3265947729000549,0.32860827732095943,0.31717347056462514,0.47273019729215016
300,10.0,5,20,sqrt,balanced_subsample,0.45535714285714285,0.3230950674991755,0.3191648130712647,0.3230950674991755,0.31236419610236144,0.4726339678719718
300,10.0,5,20,0.5,balanced,0.46683673469387754,0.32213927462554165,0.32444180046768045,0.32213927462554165,0.31609444779639256,0.481113543991044
300,10.0,5,20,0.5,balanced_subsample,0.475765306122449,0.33060629840663275,0.32721706977026127,0.33060629840663275,0.32120173641140354,0.4894613570806653
300,10.0,10,10,sqrt,balanced,0.4375,0.3140530212562694,0.31514151319614897,0.3140530212562694,0.30483726982493836,0.45894671663281833
300,10.0,10,10,sqrt,balanced_subsample,0.4375,0.3166046834305731,0.31673429031878275,0.3166046834305731,0.3061364357206151,0.4579390678904798
300,10.0,10,10,0.5,balanced,0.4604591836734694,0.32050746642100836,0.31918039546973476,0.32050746642100836,0.3116709215063298,0.4764773673354844
300,10.0,10,10,0.5,balanced_subsample,0.45918367346938777,0.328572338417096,0.32708005624672293,0.328572338417096,0.3183868173252462,0.4761953906630886
300,10.0,10,20,sqrt,balanced,0.4375,0.3140530212562694,0.31514151319614897,0.3140530212562694,0.30483726982493836,0.45894671663281833
