n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
300,10.0,5,10,sqrt,balanced,0.461734693877551,0.31603307289001104,0.3165193558518706,0.31603307289001104,0.30890190681408897,0.47558306459697636
300,10.0,5,10,sqrt,balanced_subsample,0.4719387755102041,0.3197886883437397,0.31972711184679775,0.3197886883437397,0.3132103827257448,0.483204942789969
300,10.0,5,10,0.5,balanced,0.47831632653061223,0.31934286396669964,0.31842747895379475,0.31934286396669964,0.3111679567998517,0.48583137130176535
300,10.0,5,10,0.5,balanced_subsample,0.4885204081632653,0.3171933535773994,0.3045210835251903,0.3171933535773994,0.30555764872746344,0.4918320177209158
300,10.0,5,20,sqrt,balanced,0.45663265306122447,0.3222111524332685,0.32195574515889824,0.3222111524332685,0.31398906044172814,0.4732209788826296
300,10.0,5,20,sqrt,balanced_subsample,0.4502551020408163,0.3165148361709145,0.31745650398844294,0.3165148361709145,0.3091663429323877,0.46856066357060655
300,10.0,5,20,0.5,balanced,0.4477040816326531,0.3213991151750884,0.32405230051088885,0.3213991151750884,0.31351016395258674,0.4661024632310552
300,10.0,5,20,0.5,balanced_subsample,0.45535714285714285,0.3179917431505681,0.31663125124027675,0.3179917431505681,0.30890016040230633,0.47111530917478195
300,10.0,10,10,sqrt,balanced,0.4451530612244898,0.32165409942338535,0.3205645857325779,0.32165409942338535,0.31094745231279036,0.46448812584145877
300,10.0,10,10,sqrt,balanced_subsample,0.4489795918367347,0.32226506078906364,0.3205136413539775,0.32226506078906364,0.31240195391363634,0.4681107262752201
300,10.0,10,10,0.5,balanced,0.4630102040816326,0.3294203145791395,0.32501642359742483,0.3294203145791395,0.31786090554013774,0.4802685051240663
300,10.0,10,10,0.5,balanced_subsample,0.4528061224489796,0.32160019106759014,0.322475907498876,0.32160019106759014,0.3128592825298071,0.47193641664484837
300,10.0,10,20,sqrt,balanced,0.4451530612244898,0.32165409942338535,0.3205645857325779,0.32165409942338535,0.31094745231279036,0.46448812584145877
300,10.0,10,20,sqrt,balanced_subsample,0.4489795918367347,0.32226506078906364,0.3205136413539775,0.32226506078906364,0.31240195391363634,0.4681107262752201
300,10.0,10,20,0.5,balanced,0.4630102040816326,0.3294203145791395,0.32501642359742483,0.3294203145791395,0.31786090554013774,0.4802685051240663
300,10.0,10,20,0.5,balanced_subsample,0.4528061224489796,0.32160019106759014,0.322475907498876,0.32160019106759014,0.3128592825298071,0.47193641664484837
300,10.0,20,10,sqrt,balanced,0.3852040816326531,0.31817575943680554,0.3175668321238332,0.31817575943680554,0.2958521820310438,0.4149411713498324
300,10.0,20,10,sqrt,balanced_subsample,0.39668367346938777,0.33333174110341535,0.3308604639259059,0.33333174110341535,0.31053044729142487,0.42723617064038205
300,10.0,20,10,0.5,balanced,0.40561224489795916,0.3193078349085036,0.3188377058473662,0.3193078349085036,0.3035821033172728,0.43378673323234573
300,10.0,20,10,0.5,balanced_subsample,0.4094387755102041,0.31864296518703017,0.3198664338018464,0.31864296518703017,0.3045397060031207,0.4383226553740492
300,10.0,20,20,sqrt,balanced,0.3852040816326531,0.31817575943680554,0.3175668321238332,0.31817575943680554,0.2958521820310438,0.4149411713498324
300,10.0,20,20,sqrt,balanced_subsample,0.39668367346938777,0.33333174110341535,0.3308604639259059,0.33333174110341535,0.31053044729142487,0.42723617064038205
300,10.0,20,20,0.5,balanced,0.40561224489795916,0.3193078349085036,0.3188377058473662,0.3193078349085036,0.3035821033172728,0.43378673323234573
300,10.0,20,20,0.5,balanced_subsample,0.4094387755102041,0.31864296518703017,0.3198664338018464,0.31864296518703017,0.3045397060031207,0.4383226553740492
300,20.0,5,10,sqrt,balanced,0.5114795918367347,0.3195832906843176,0.3082543332790865,0.3195832906843176,0.3085608387035662,0.5049017108011975
300,20.0,5,10,sqrt,balanced_subsample,0.5102040816326531,0.31895435986670756,0.3085756056808689,0.31895435986670756,0.30766113103152526,0.5031058010622108
300,20.0,5,10,0.5,balanced,0.5242346938775511,0.32332093668611456,0.3155480079788668,0.32332093668611456,0.3118452907132034,0.5126043774356862
300,20.0,5,10,0.5,balanced_subsample,0.5191326530612245,0.31825355124137067,0.30926591106565143,0.31825355124137067,0.30750955827052356,0.507778036067473
300,20.0,5,20,sqrt,balanced,0.4770408163265306,0.3136106088004822,0.3112445619026358,0.3136106088004822,0.3075222292759938,0.4854684635515384
300,20.0,5,20,sqrt,balanced_subsample,0.46811224489795916,0.30561761461212145,0.3008212282428022,0.30561761461212145,0.29832393433101306,0.4772774435242157
300,20.0,5,20,0.5,balanced,0.49744897959183676,0.3236735018822432,0.3207269022107323,0.3236735018822432,0.31727924640705285,0.5004734467903564
300,20.0,5,20,0.5,balanced_subsample,0.4923469387755102,0.3175673001467126,0.3108246087067643,0.3175673001467126,0.3096226612681439,0.49559680441863785
300,20.0,10,10,sqrt,balanced,0.45918367346938777,0.31246056387685234,0.30902593559370795,0.31246056387685234,0.30417435891784556,0.47298336713865413
300,20.0,10,10,sqrt,balanced_subsample,0.461734693877551,0.3147572418028592,0.31445912313634716,0.3147572418028592,0.30839716198767353,0.47689890620199193
300,20.0,10,10,0.5,balanced,0.46683673469387754,0.3111308244339054,0.3083541650848164,0.3111308244339054,0.3048938247809316,0.4790580176220462
300,20.0,10,10,0.5,balanced_subsample,0.475765306122449,0.3165721564479625,0.3167104679709722,0.3165721564479625,0.3116567492128641,0.48551232413779344
300,20.0,10,20,sqrt,balanced,0.45918367346938777,0.31246056387685234,0.30902593559370795,0.31246056387685234,0.30417435891784556,0.47298336713865413
300,20.0,10,20,sqrt,balanced_subsample,0.461734693877551,0.3147572418028592,0.31445912313634716,0.3147572418028592,0.30839716198767353,0.47689890620199193
300,20.0,10,20,0.5,balanced,0.46683673469387754,0.3111308244339054,0.3083541650848164,0.3111308244339054,0.3048938247809316,0.4790580176220462
300,20.0,10,20,0.5,balanced_subsample,0.475765306122449,0.3165721564479625,0.3167104679709722,0.3165721564479625,0.3116567492128641,0.48551232413779344
300,20.0,20,10,sqrt,balanced,0.399234693877551,0.32461996883778593,0.32297017784161863,0.32461996883778593,0.30643598087186485,0.4286836524498885
300,20.0,20,10,sqrt,balanced_subsample,0.399234693877551,0.32485698363415105,0.3217647075707823,0.32485698363415105,0.3054768577870688,0.4280905830666119
300,20.0,20,10,0.5,balanced,0.40433673469387754,0.31253676345149956,0.3140875372314638,0.31253676345149956,0.29853853261397595,0.4329465179868085
300,20.0,20,10,0.5,balanced_subsample,0.4145408163265306,0.32371035063177406,0.3241901776384535,0.32371035063177406,0.3087175712876784,0.4433445385461321
300,20.0,20,20,sqrt,balanced,0.399234693877551,0.32461996883778593,0.32297017784161863,0.32461996883778593,0.30643598087186485,0.4286836524498885
300,20.0,20,20,sqrt,balanced_subsample,0.399234693877551,0.32485698363415105,0.3217647075707823,0.32485698363415105,0.3054768577870688,0.4280905830666119
300,20.0,20,20,0.5,balanced,0.40433673469387754,0.31253676345149956,0.3140875372314638,0.31253676345149956,0.29853853261397595,0.4329465179868085
300,20.0,20,20,0.5,balanced_subsample,0.4145408163265306,0.32371035063177406,0.3241901776384535,0.32371035063177406,0.3087175712876784,0.4433445385461321
300,,5,10,sqrt,balanced,0.5076530612244898,0.3151448360571838,0.3070208728652752,0.3151448360571838,0.30417271419326,0.500150893247754
300,,5,10,sqrt,balanced_subsample,0.5153061224489796,0.3189184209628442,0.3098753735311295,0.3189184209628442,0.3078068946876997,0.505724129407402
300,,5,10,0.5,balanced,0.5255102040816326,0.32267403641657283,0.3151006135612017,0.32267403641657283,0.31140397304258843,0.5134268140409545
300,,5,10,0.5,balanced_subsample,0.5178571428571429,0.31762462042376055,0.3099287484510533,0.31762462042376055,0.3068325898669548,0.5073049818083046
300,,5,20,sqrt,balanced,0.475765306122449,0.3155333401571758,0.31250025377545365,0.3155333401571758,0.3086690747177356,0.4846691041577129
300,,5,20,sqrt,balanced_subsample,0.47066326530612246,0.3055996451601897,0.3005681818181818,0.3055996451601897,0.29845438707033023,0.4783191907611832
300,,5,20,0.5,balanced,0.49362244897959184,0.32306254051656486,0.3193548387096774,0.32306254051656486,0.31633805693485556,0.49693841435683744
300,,5,20,0.5,balanced_subsample,0.49107142857142855,0.31334789086401216,0.3021092981092981,0.31334789086401216,0.3040715252616135,0.4939904093096519
300,,10,10,sqrt,balanced,0.4642857142857143,0.3162521182344445,0.31168733942456567,0.3162521182344445,0.3077347370526428,0.47732997001916716
300,,10,10,sqrt,balanced_subsample,0.4655612244897959,0.3166440342556894,0.31600612180656673,0.3166440342556894,0.3101516539016539,0.4789196108950574
300,,10,10,0.5,balanced,0.4744897959183674,0.3136285782524139,0.31035000586029066,0.3136285782524139,0.30772762273307896,0.484674922207428
300,,10,10,0.5,balanced_subsample,0.4719387755102041,0.3134095329079805,0.3143604988673152,0.3134095329079805,0.308889749687476,0.4827637891230306
300,,10,20,sqrt,balanced,0.4642857142857143,0.3162521182344445,0.31168733942456567,0.3162521182344445,0.3077347370526428,0.47732997001916716
300,,10,20,sqrt,balanced_subsample,0.4655612244897959,0.3166440342556894,0.31600612180656673,0.3166440342556894,0.3101516539016539,0.4789196108950574
300,,10,20,0.5,balanced,0.4744897959183674,0.3136285782524139,0.31035000586029066,0.3136285782524139,0.30772762273307896,0.484674922207428
300,,10,20,0.5,balanced_subsample,0.4719387755102041,0.3134095329079805,0.3143604988673152,0.3134095329079805,0.308889749687476,0.4827637891230306
300,,20,10,sqrt,balanced,0.399234693877551,0.3258957999249377,0.3238916979728995,0.3258957999249377,0.30702240796338315,0.42851502307735617
300,,20,10,sqrt,balanced_subsample,0.399234693877551,0.32717163101208957,0.32376364577451533,0.32717163101208957,0.307627067519757,0.42817332132303587
300,,20,10,0.5,balanced,0.4119897959183674,0.31631034835715993,0.3174299714169049,0.31631034835715993,0.3027702551882753,0.4399482602172632
300,,20,10,0.5,balanced_subsample,0.413265306122449,0.3218055887270122,0.3223092171879234,0.3218055887270122,0.30738989978253317,0.44203189750476457
300,,20,20,sqrt,balanced,0.399234693877551,0.3258957999249377,0.3238916979728995,0.3258957999249377,0.30702240796338315,0.42851502307735617
300,,20,20,sqrt,balanced_subsample,0.399234693877551,0.32717163101208957,0.32376364577451533,0.32717163101208957,0.307627067519757,0.42817332132303587
300,,20,20,0.5,balanced,0.4119897959183674,0.31631034835715993,0.3174299714169049,0.31631034835715993,0.3027702551882753,0.4399482602172632
300,,20,20,0.5,balanced_subsample,0.413265306122449,0.3218055887270122,0.3223092171879234,0.3218055887270122,0.30738989978253317,0.44203189750476457
