event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3
INCIDENT__257465-webtirf__74230,74230,2025-11-28 05:00:00,2025-11-28 02:00:00,2025-11-28 08:00:00,OTHER_DISRUPTION,GROUP__74230__0025,INCIDENT,28.0,66.0,154.0,199.0,432.0,495.0,393.0
INCIDENT__257685-webtirf__74230,74230,2025-11-30 19:00:00,2025-11-30 16:00:00,2025-11-30 22:00:00,OTHER_DISRUPTION,GROUP__74230__0026,INCIDENT,64.0,49.0,44.0,32.0,22.0,33.0,16.0
INCIDENT__259345-webtirf__74230,74230,2025-12-15 23:00:00,2025-12-15 20:00:00,2025-12-16 02:00:00,OTHER_DISRUPTION,GROUP__74230__0027,INCIDENT,274.0,205.0,123.0,31.0,1.0,6.0,3.0
INCIDENT__260144-webtirf__74230,74230,2025-12-23 04:00:00,2025-12-23 01:00:00,2025-12-23 07:00:00,OTHER_DISRUPTION,GROUP__74230__0028,INCIDENT,2.0,2.0,1.0,2.0,10.0,9.0,14.0
INCIDENT__260196-webtirf__74230,74230,2025-12-23 23:00:00,2025-12-23 20:00:00,2025-12-24 02:00:00,OTHER_DISRUPTION,GROUP__74230__0029,INCIDENT,7.0,4.0,0.0,0.0,20.0,11.0,11.0
INCIDENT__222481-webtirf__9658,9658,2025-01-31 05:00:00,2025-01-31 02:00:00,2025-01-31 08:00:00,OTHER_DISRUPTION,GROUP__9658__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223485-webtirf__9658,9658,2025-02-10 20:00:00,2025-02-10 17:00:00,2025-02-10 23:00:00,OTHER_DISRUPTION,GROUP__9658__0002,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223838-webtirf__9658,9658,2025-02-13 21:00:00,2025-02-13 18:00:00,2025-02-14 00:00:00,ACCIDENT,GROUP__9658__0003,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__224287-webtirf__9658,9658,2025-02-18 07:00:00,2025-02-18 04:00:00,2025-02-18 10:00:00,OTHER_DISRUPTION,GROUP__9658__0004,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__225019-webtirf__9658,9658,2025-02-25 23:00:00,2025-02-25 20:00:00,2025-02-26 02:00:00,OTHER_DISRUPTION,GROUP__9658__0005,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__225506-webtirf__9658,9658,2025-03-03 04:00:00,2025-03-03 01:00:00,2025-03-03 07:00:00,OTHER_DISRUPTION,GROUP__9658__0006,INCIDENT,22.0,20.0,33.0,42.0,83.0,161.0,120.0
INCIDENT__225653-webtirf__9658,9658,2025-03-04 09:00:00,2025-03-04 06:00:00,2025-03-04 12:00:00,ACCIDENT,GROUP__9658__0007,INCIDENT,946.0,1253.0,996.0,940.0,889.0,810.0,832.0
INCIDENT__225769-webtirf__9658,9658,2025-03-05 05:00:00,2025-03-05 02:00:00,2025-03-05 08:00:00,ACCIDENT,GROUP__9658__0008,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__227645-webtirf__9658,9658,2025-03-16 07:00:00,2025-03-16 04:00:00,2025-03-16 10:00:00,OTHER_DISRUPTION,GROUP__9658__0009,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
