iteration,validation_mlogloss
0,1.0982842989722077
1,1.0978187994689357
2,1.0978261176116613
3,1.0969207476900549
4,1.0965670178435287
5,1.0960883083088058
6,1.0950230501440106
7,1.0941950259920286
8,1.0937591558512376
9,1.0928738578697856
10,1.0926202141812869
11,1.0922756317470754
12,1.0917574377844528
13,1.0910357219376126
14,1.0907536000773614
15,1.0904737856163054
16,1.0902601976175696
17,1.0903628197859745
18,1.0897109037151143
19,1.0888311539833644
20,1.08828204870224
21,1.088000846380482
22,1.0874616173000968
23,1.0873302885008103
24,1.0867006549117517
25,1.0868285870065495
26,1.086240367925897
27,1.0860553772321768
28,1.0857794341080043
29,1.0858146061702652
30,1.0852306562722946
31,1.0846678925564095
32,1.0847623273730278
33,1.0845910556310294
34,1.0842070918606252
35,1.0837330590857535
36,1.0834262050232109
37,1.0831329210528307
38,1.0824390613302892
39,1.082262848484881
40,1.0822807450075538
41,1.081914199706243
42,1.0820257071481676
43,1.0816048936424207
44,1.081316539979711
45,1.081062411471289
46,1.0809554058526243
47,1.08070005119151
48,1.0804694188492638
49,1.0804006370658776
50,1.0800890689905809
51,1.0793557037808457
52,1.079076028371952
53,1.0788825634790926
54,1.0784726191540153
55,1.0781687467682117
56,1.0778767544091965
57,1.0771792347790028
58,1.0769834368660742
59,1.0766760470459655
60,1.0760885281678365
61,1.0752980928792029
62,1.0758410375945422
63,1.075736639146902
64,1.0755126987184798
65,1.0754473519568541
66,1.0754345172674071
67,1.0747637300923163
68,1.0744370474499099
69,1.0742719913167613
70,1.0741591761458893
71,1.0742718340943054
72,1.0740301002349173
73,1.0736730481136818
74,1.0733037862394537
75,1.0726411622397753
76,1.072430141802345
77,1.0721563077246656
78,1.0718141347169876
79,1.071917204832544
80,1.0718429515100256
81,1.0716408951093956
82,1.071747507747947
83,1.071572505469833
84,1.0716680609906206
85,1.0713072859359032
86,1.0709705232661597
87,1.0709623018545764
88,1.0704256165392545
89,1.0702778801930195
90,1.0699567700527153
91,1.0696210187612747
92,1.069859505612023
93,1.069882056694858
94,1.0698417629666475
95,1.0693990565380271
96,1.0691392141945508
97,1.069163230228789
98,1.0688990062596846
99,1.0683377154779679
100,1.068050327501735
101,1.0675592963032576
102,1.0668750076117564
103,1.0665607241039374
104,1.066404933908156
105,1.066735161126268
106,1.066634973777192
107,1.0666205562955262
108,1.0662865614404484
109,1.066208967901006
110,1.0661659388974005
111,1.0655775126449916
112,1.065644505680824
113,1.0651663041540556
114,1.0649695002606936
115,1.0645402124797811
116,1.0648860190139742
117,1.0642680610929216
118,1.0638715382285264
119,1.0638818263399357
120,1.0637159873636401
121,1.063709942205828
122,1.0633755362763697
123,1.0635610818862915
124,1.06303762568503
125,1.062797053888136
126,1.0626084663125934
127,1.0622851067051595
128,1.062147922509787
129,1.0622705963193153
130,1.0623763510767295
131,1.0624059201503286
132,1.0620421553980939
133,1.0614091460498012
134,1.0611883893000835
135,1.0612657723226109
136,1.0612902654981127
137,1.0612157763799235
138,1.0610779441741047
139,1.0607780018175135
140,1.060570563246705
141,1.0603992583952389
142,1.0602926175889311
143,1.0600206541011528
144,1.0598002082611224
145,1.059687211007184
146,1.0594239095796127
147,1.059174435859432
148,1.0588911093619404
149,1.0589107075440032
150,1.058936911996226
151,1.0592134887238547
152,1.0591679620271435
153,1.058956384316695
154,1.058701224929216
155,1.0582443925419025
156,1.058195156634462
157,1.058122584064092
158,1.0580333198363683
159,1.0583025606311098
160,1.058092407996253
161,1.0577894863577522
162,1.0575520392431288
163,1.0572620482393065
164,1.0576532678108435
165,1.057271612275924
166,1.0570167055239483
167,1.0571109993117196
168,1.057174086380674
169,1.056428814230829
170,1.0564226764729436
171,1.0559409152792425
172,1.0556142133261477
173,1.0553039527897323
174,1.0550849577602075
175,1.0546879769511976
176,1.0546661075964874
177,1.0548047083144894
178,1.0547356103375858
179,1.0548869264597187
180,1.054648495754417
181,1.054607244664613
182,1.0544570059876661
183,1.0546430227707844
184,1.0543543164219176
185,1.0538326776301374
186,1.0537675151943553
187,1.053580455482006
188,1.0533325333452346
189,1.0531974569039078
190,1.0534184587245086
191,1.0531270924803553
192,1.052615614341838
193,1.0526607441430798
194,1.0523214972749049
195,1.0520086559866155
196,1.0519907828800532
197,1.0521094153958315
198,1.0519603272633893
199,1.0517776223013595
200,1.0515858094226949
201,1.0513763580927435
202,1.0512548662265953
203,1.050920926376569
204,1.050570197175352
205,1.0507430565372413
206,1.0510277643571704
207,1.0512758078699818
208,1.0511433922362572
209,1.0507857129357907
210,1.050463457800904
211,1.050744222629131
212,1.050805652057942
213,1.0505357615421622
214,1.0505608340003052
215,1.050557663017998
216,1.0503996244574687
217,1.0499819943263216
218,1.0498291348696362
219,1.0494799215574653
220,1.0492745886119652
221,1.0493398155941038
222,1.0492241252593848
223,1.0489475613802064
224,1.0488020209405495
225,1.0485874572578742
226,1.0484208997186957
227,1.0482114497192052
228,1.0480543236267201
229,1.0480294361406444
230,1.0479094774975461
231,1.047734614157555
232,1.047466443357419
233,1.047347060081606
234,1.0470780748493818
235,1.0470267131316418
236,1.0468463474618537
237,1.0469239970707163
238,1.0466311141392406
239,1.0462748961409136
240,1.0461673616070528
241,1.0461960894492817
242,1.0459285309272153
243,1.04561633054091
244,1.0456873221436933
245,1.0454079234326372
246,1.0453799269257151
247,1.0451001935467428
248,1.0449310966140153
249,1.0446914880327425
250,1.044391831839267
251,1.044414364637769
252,1.0443089293810177
253,1.0442206014936068
254,1.043910434127462
255,1.0437122579207834
256,1.0433420503169906
257,1.0432290368694432
258,1.042909755960715
259,1.0426877494141156
260,1.0427795009953635
261,1.0425181484268027
262,1.042496201715299
263,1.0425375090645892
264,1.0423426562350016
265,1.0421324116082824
266,1.0422049000175024
267,1.0420700965867358
268,1.0420245230197906
269,1.0420573934608577
270,1.0419386657601108
271,1.0415812648680745
272,1.0414664896623211
273,1.041553369970346
274,1.0415384862571955
275,1.0416128336623007
276,1.0413090333874737
277,1.0415127734672658
278,1.041521536984614
279,1.0414796009355662
280,1.0413021385973813
281,1.04126843011805
282,1.0410305637182022
283,1.041024380952728
284,1.0409510749943403
285,1.0409065140221192
286,1.0404937134637517
287,1.040216429349111
288,1.0400783606253716
289,1.0396753740782032
290,1.0396813977965895
291,1.039733357841567
292,1.039713669036116
293,1.0398768768170659
294,1.0398045400423663
295,1.0393922800312236
296,1.0391029731503554
297,1.0387867066096894
298,1.0381977441055434
299,1.0380488628027391
300,1.0378935460609442
301,1.0381703315568822
302,1.0379958740834678
303,1.0379097677235092
304,1.0380604616841491
305,1.0376540698415162
306,1.0375267244799404
307,1.0375885642228686
308,1.037311328118857
309,1.0372585457730659
310,1.037176720645963
311,1.0369586171772407
312,1.0372134176824166
313,1.0369991658217446
314,1.0366223559391743
315,1.0365830903530728
316,1.0364592433812059
317,1.0360338515316954
318,1.0359954847288984
319,1.0360397035446094
320,1.0359425902442665
321,1.0359682186449668
322,1.0361753965214806
323,1.0359336783235171
324,1.0357258954674613
325,1.0357888296094475
326,1.0356710150989952
327,1.0359449059303318
328,1.0360119607375593
329,1.035686127233262
330,1.035539998197738
331,1.0356914529158754
332,1.0351436991168528
333,1.0350799285331551
334,1.0352932787975486
335,1.0351126296635793
336,1.035092037969402
337,1.0351223486798757
338,1.0352856102874692
339,1.0353946799450382
340,1.035375009157828
341,1.035224187625002
342,1.0351551173216835
343,1.0352412279011036
344,1.0349873693241758
345,1.0347196145401316
346,1.0345726200968635
347,1.0347205808728326
348,1.0345780698544518
349,1.0345096699893475
350,1.0343520293886563
351,1.0343821371088222
352,1.0346346605112966
353,1.034636460358695
354,1.034588405482319
355,1.0345300703252456
356,1.0344099811069212
357,1.0340487438121013
358,1.033961081497219
359,1.033883289833154
360,1.0336335323066737
361,1.033620133349786
362,1.0334546430872715
363,1.03327912286076
364,1.033268069943451
365,1.0333544106165669
366,1.0332825688303124
367,1.0330601375055861
368,1.0327143505291672
369,1.0325668534568073
370,1.0326562119001637
371,1.0326058268737124
372,1.0326214713823734
373,1.032689694144136
374,1.0327145852794757
375,1.0327290710137815
376,1.032543055884236
377,1.0322197466632541
378,1.0320714369644315
379,1.031883470086875
380,1.031971842658763
381,1.0320310805715165
382,1.0320707207203519
383,1.031852545064627
384,1.0317518007276314
385,1.031806475121756
386,1.032109831250748
387,1.031996181481803
388,1.031929507148357
389,1.0315645635128021
390,1.0315112455805042
391,1.0312981921989395
392,1.031499093113353
393,1.0312627649352866
394,1.0310447366566073
395,1.030961287778099
396,1.030878715521219
397,1.0309323864817923
398,1.0309605021789974
399,1.0309190705646665
400,1.0311163880349117
401,1.0311021871902808
402,1.0308117417960752
403,1.0308161496507877
404,1.0306433295755058
405,1.0307502881908903
406,1.0307367404694765
407,1.0306668312916039
408,1.030446787402794
409,1.0304643574303813
410,1.0305194316850024
411,1.030379889932062
412,1.0306047685444355
413,1.0304771658337237
414,1.03022910158473
415,1.0300380748753646
416,1.0300511666288485
417,1.0300948294639891
418,1.0299163029282068
419,1.029625143038527
420,1.0295532144492074
421,1.0293913385355655
422,1.0292588696453948
423,1.0293549408337899
424,1.0294387120449422
425,1.0295222895980185
426,1.029304814829054
427,1.0292424067702828
428,1.0291779973183055
429,1.029149687354814
430,1.0290635370326287
431,1.0288170818809648
432,1.0287567697731512
433,1.028495721214888
434,1.0287374063604036
435,1.0287428160141012
