split_scheme,partition,best_iteration,accuracy,balanced_accuracy,macro_f1,weighted_f1
Grouped-random,train,615,0.8,0.8372586626138033,0.7942831817837801,0.8141885798188531
Grouped-random,validation,615,0.4502551020408163,0.30885984964800345,0.3044516412038465,0.46745862099389135
Grouped-random,test,615,0.4949748743718593,0.35246361955137395,0.3362389490209039,0.5070173950808325
Spatial holdout,train,793,0.8293275722387253,0.863332413555164,0.8227196178293713,0.8404387590855231
Spatial holdout,validation,793,0.47518610421836227,0.3449597070368415,0.32697053143551963,0.492095495872367
Spatial holdout,test,793,0.4113756613756614,0.3292375626600381,0.2867073378449327,0.42502824298298
