Model,Split,Accuracy,Balanced Accuracy,Macro-F1
MOMENT-1-base + MLP head,grouped,0.511 ± 0.030,0.357 ± 0.006,0.349 ± 0.012
MOMENT-1-base + MLP head,spatial,0.440 ± 0.125,0.333 ± 0.019,0.300 ± 0.027
