Split,Class,Precision,Recall,F1
grouped,NORMAL,0.689836 ± 0.006747,0.640173 ± 0.035136,0.663788 ± 0.020644
grouped,ACCIDENT,0.126604 ± 0.010328,0.166667 ± 0.114931,0.131471 ± 0.033840
grouped,OTHER_DISRUPTION,0.246871 ± 0.016564,0.265193 ± 0.082504,0.252299 ± 0.048826
spatial,NORMAL,0.693632 ± 0.009966,0.533333 ± 0.246666,0.581892 ± 0.145104
spatial,ACCIDENT,0.095713 ± 0.014302,0.216216 ± 0.141085,0.122517 ± 0.013837
spatial,OTHER_DISRUPTION,0.240750 ± 0.022618,0.249501 ± 0.277158,0.195703 ± 0.115853
