
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch   3 | Val MAE 0.2272 (best 0.2362)
    Epoch   5 | Val MAE 0.2171 (best 0.2232)
    Epoch   7 | Val MAE 0.2134 (best 0.2109)
    Epoch   9 | Val MAE 0.2003 (best 0.2109)
    Epoch  11 | Val MAE 0.2012 (best 0.2003)
    Epoch  13 | Val MAE 0.2084 (best 0.2003)
    Epoch  15 | Val MAE 0.2163 (best 0.2003)
    Epoch  17 | Val MAE 0.2013 (best 0.2003)
    Epoch  19 | Val MAE 0.1957 (best 0.1951)
    Epoch  21 | Val MAE 0.2023 (best 0.1951)
    Epoch  23 | Val MAE 0.1982 (best 0.1951)
    Epoch  25 | Val MAE 0.1970 (best 0.1951)
    Epoch  27 | Val MAE 0.2052 (best 0.1951)
    Epoch  29 | Val MAE 0.1940 (best 0.1931)
    Epoch  31 | Val MAE 0.2023 (best 0.1931)
    Epoch  33 | Val MAE 0.1950 (best 0.1931)
    Epoch  35 | Val MAE 0.1976 (best 0.1931)
    Epoch  37 | Val MAE 0.2025 (best 0.1931)
    Epoch  39 | Val MAE 0.1886 (best 0.1931)
    Epoch  41 | Val MAE 0.2009 (best 0.1886)
    Epoch  43 | Val MAE 0.2038 (best 0.1886)
    Epoch  45 | Val MAE 0.2045 (best 0.1886)
    Epoch  47 | Val MAE 0.1978 (best 0.1886)
    Epoch  49 | Val MAE 0.2046 (best 0.1886)
    Epoch  51 | Val MAE 0.2038 (best 0.1886)
    Epoch  53 | Val MAE 0.2014 (best 0.1886)
    Val MAE avg: 0.1886  | Test MAE avg: 0.1804
  Seed 777 ...
    Epoch   1 | Val MAE 0.2511 (best inf)
    Epoch   2 | Val MAE 0.2340 (best 0.2511)
    Epoch   3 | Val MAE 0.2259 (best 0.2340)
    Epoch   5 | Val MAE 0.2253 (best 0.2242)
    Epoch   7 | Val MAE 0.2160 (best 0.2167)
    Epoch   9 | Val MAE 0.2148 (best 0.2152)
    Epoch  11 | Val MAE 0.2042 (best 0.2108)
    Epoch  13 | Val MAE 0.2016 (best 0.2042)
    Epoch  15 | Val MAE 0.2049 (best 0.2016)
    Epoch  17 | Val MAE 0.2090 (best 0.2016)
    Epoch  19 | Val MAE 0.2002 (best 0.2016)
