d_model,num_heads,ff_dim,dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,2,64,0.2,0.001,0.0001,12,6,0.28316326530612246,0.34694257736531436,0.3458211848858892,0.34694257736531436,0.2696617979481829,0.31762358210107206
48,4,96,0.3,0.001,0.0001,7,1,0.3635204081632653,0.3533028535034745,0.34521324086541477,0.3533028535034745,0.30978935943463354,0.4084544638250786
32,4,64,0.4,0.0005,0.001,7,1,0.39285714285714285,0.33135419154525914,0.3309430218537536,0.33135419154525914,0.29911937377690806,0.41621058648508324
