d_model,num_heads,ff_dim,dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,2,64,0.2,0.001,0.0001,13,7,0.3737244897959184,0.3221925005970862,0.3217613541142953,0.3221925005970862,0.299193733280031,0.4146857890634146
48,4,96,0.3,0.001,0.0001,14,8,0.4336734693877551,0.34575636607640425,0.34256557753587796,0.34575636607640425,0.3318066844497802,0.46447159144177946
32,4,64,0.4,0.0005,0.001,14,8,0.3022959183673469,0.3419591251833907,0.35388456674598245,0.3419591251833907,0.2709402093108373,0.3527120562545977
