split_scheme,seed,d_model,num_heads,ff_dim,dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,32.0,2.0,64.0,0.2,0.001,0.0001,9.0,3.0,0.42857142857142855,0.3351116266903227,0.3321675172234532,0.3351116266903227,0.32366924459516794,0.45920965032168415
Grouped-random,52,48.0,4.0,96.0,0.3,0.001,0.0001,14.0,8.0,0.4336734693877551,0.34575636607640425,0.34256557753587796,0.34575636607640425,0.3318066844497802,0.46447159144177946
Grouped-random,62,48.0,4.0,96.0,0.3,0.001,0.0001,7.0,1.0,0.3635204081632653,0.3533028535034745,0.34521324086541477,0.3533028535034745,0.30978935943463354,0.4084544638250786
Spatial holdout,42,32.0,4.0,64.0,0.4,0.0005,0.001,12.0,6.0,0.4441687344913151,0.36363966815023385,0.3529986244860151,0.36363966815023385,0.34548935661128133,0.474751549424455
Spatial holdout,52,48.0,4.0,96.0,0.3,0.001,0.0001,11.0,5.0,0.46774193548387094,0.36402108881498624,0.3566117268163304,0.36402108881498624,0.35153512474092424,0.49631593414603026
Spatial holdout,62,32.0,2.0,64.0,0.2,0.001,0.0001,13.0,7.0,0.45285359801488834,0.3689612572868519,0.36135909393737514,0.3689612572868519,0.3499633818191417,0.47987221347990927
