split_scheme,class,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean
Grouped-random,ACCIDENT,0.08884764180463105,0.022300072347461806,0.2117117117117117,0.13869193079586173,0.12204008912663931,0.04539184498030938,74.0
Grouped-random,NORMAL,0.6679397914349395,0.0066256499363449425,0.474430067775724,0.08603306118385948,0.5514216963557338,0.060111595824958126,541.0
Grouped-random,OTHER_DISRUPTION,0.2470389259862944,0.01122279796621297,0.3351749539594843,0.0063795609855207425,0.28427170200667545,0.006067269106049832,181.0
Spatial holdout,ACCIDENT,0.13392704611796513,0.00973748163748149,0.14864864864864866,0.02702702702702703,0.1394747899159664,0.008287622080805489,74.0
Spatial holdout,NORMAL,0.6907143882971223,0.01883032330780305,0.49902912621359224,0.15490229650624573,0.5693220238543703,0.09055693475008346,515.0
Spatial holdout,OTHER_DISRUPTION,0.23538211279549637,0.012050627974805465,0.42714570858283435,0.20256285206576202,0.2926318117950926,0.07288786136025871,167.0
