d_model,num_heads,ff_dim,dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,2,64,0.2,0.001,0.0001,9,3,0.42857142857142855,0.3351116266903227,0.3321675172234532,0.3351116266903227,0.32366924459516794,0.45920965032168415
48,4,96,0.3,0.001,0.0001,8,2,0.20408163265306123,0.30572497640087803,0.31014358561460015,0.30572497640087803,0.20281302164465678,0.2152346365231303
32,4,64,0.4,0.0005,0.001,8,2,0.288265306122449,0.33713876283735367,0.33698528523866206,0.33713876283735367,0.2570625660608683,0.2941649557411312
