accuracy,loss,val_accuracy,val_loss,val_macro_f1,epoch
0.2786974310874939,1.1825354099273682,0.1785714328289032,1.2189937829971313,0.1832415902607365,1
0.2824966013431549,1.1326944828033447,0.25127550959587097,1.158383846282959,0.2367808389543998,2
0.33270013332366943,1.130739450454712,0.32780611515045166,1.1140652894973755,0.287239308976383,3
0.36010855436325073,1.1239707469940186,0.26530611515045166,1.1278961896896362,0.24498323787928336,4
0.387788325548172,1.1204605102539062,0.2933673560619354,1.1298363208770752,0.26357252179672014,5
0.37014925479888916,1.1190078258514404,0.20280611515045166,1.1500258445739746,0.2046537078635254,6
0.40081411600112915,1.1201019287109375,0.49872449040412903,1.1072826385498047,0.32867455735139994,7
0.4580732583999634,1.1176482439041138,0.4336734712123871,1.1105326414108276,0.3318066844497802,8
0.38290366530418396,1.1170458793640137,0.30102041363716125,1.1182245016098022,0.27313282711632153,9
0.3598371744155884,1.1191734075546265,0.3022959232330322,1.1177430152893066,0.26799996534028075,10
0.4255088269710541,1.1179877519607544,0.39158162474632263,1.1151831150054932,0.30793096460324454,11
0.38616010546684265,1.118881344795227,0.3609693944454193,1.1143866777420044,0.29465224883731345,12
0.39837178587913513,1.116520643234253,0.30994898080825806,1.1118849515914917,0.275431592672972,13
0.40217095613479614,1.11470365524292,0.3482142984867096,1.124789834022522,0.289264961810052,14
