split_scheme,class,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,support_mean
Grouped-random,ACCIDENT,0.09563987063987063,0.003742778525025651,0.14414414414414414,0.007802030664724671,0.11489351044546225,0.0035248606331450072,74.0
Grouped-random,NORMAL,0.6851077112570602,0.020087764550541762,0.3875539125077018,0.03479435096363644,0.4947733039599261,0.03388841537888063,541.0
Grouped-random,OTHER_DISRUPTION,0.2361971324156198,0.015113251596239467,0.49355432780847147,0.019402677261238937,0.31945288567327507,0.017755567856715785,181.0
Spatial holdout,ACCIDENT,0.09903630189534061,0.004094188869862621,0.14414414414414414,0.007802030664724671,0.11740293707506821,0.005458881230294093,74.0
Spatial holdout,NORMAL,0.6819922705033838,0.004746807412136173,0.22912621359223304,0.008463881443768292,0.34297178957857194,0.010084392580018737,515.0
Spatial holdout,OTHER_DISRUPTION,0.2307253641506696,0.0034187067504156867,0.6566866267465069,0.009146857674562588,0.34146978061786354,0.00473903167891477,167.0
