max_depth,min_samples_leaf,min_samples_split,ccp_alpha,tree_depth,n_leaves,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
3.0,5,10,0.0,3,8,0.22959183673469388,0.35659876943373475,0.3466983599776139,0.35659876943373475,0.181990231990232,0.12396627607086791
3.0,5,10,0.0005,3,8,0.22959183673469388,0.35659876943373475,0.3466983599776139,0.35659876943373475,0.181990231990232,0.12396627607086791
3.0,5,10,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,20,0.0,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,20,0.0005,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,20,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,40,0.0,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,40,0.0005,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,5,40,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,10,0.0,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,10,0.0005,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,10,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,20,0.0,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,20,0.0005,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,20,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,40,0.0,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,40,0.0005,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,10,40,0.001,3,7,0.22576530612244897,0.3547119769809046,0.33830214164695227,0.3547119769809046,0.17745402569233062,0.11639792284608166
3.0,20,10,0.0,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,10,0.0005,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,10,0.001,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,20,0.0,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,20,0.0005,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,20,0.001,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,40,0.0,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,40,0.0005,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,20,40,0.001,3,7,0.23341836734693877,0.35489508342147463,0.35394753617645186,0.35489508342147463,0.184099010717415,0.1328001348663647
3.0,40,10,0.0,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,10,0.0005,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,10,0.001,3,7,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,20,0.0,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,20,0.0005,3,8,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
3.0,40,20,0.001,3,7,0.2308673469387755,0.3500467433211642,0.3347075169364326,0.3500467433211642,0.17914377101024317,0.12921414583056604
