Split,Seed,Accuracy,Balanced Accuracy,Macro-F1,Validation Macro-F1,Best Epoch,Best Config
grouped,42,0.5213567839195979,0.3629977594551077,0.36098595275999257,0.32950617488495865,8,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
grouped,52,0.5339195979899497,0.3513667158237781,0.35020980510847616,0.35079671304383253,6,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
grouped,62,0.47738693467336685,0.35766808157817237,0.33636156970959213,0.3361220452673665,2,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
spatial,42,0.5833333333333334,0.34405180717023054,0.3273651611027713,0.3386828309529523,4,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
spatial,52,0.37037037037037035,0.34407715662875243,0.2984751874267266,0.3495615410422353,7,"{'hidden': 128, 'dropout': 0.3, 'lr': 0.0005}"
spatial,62,0.36507936507936506,0.3109215837545586,0.2742711833620925,0.3370140254066714,3,"{'hidden': 64, 'dropout': 0.2, 'lr': 0.001}"
