split_scheme,seed,best_epoch,best_val_macro_f1,partition,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
Grouped-random,42,7,0.3230798187819729,train,0.4746268656716418,0.3610269531622979,0.37252960524337353,0.35819164930844444,0.37252960524337353
Grouped-random,42,7,0.3230798187819729,validation,0.4221938775510204,0.3336923900558449,0.3368332821545146,0.3230798187819729,0.3368332821545146
Grouped-random,42,7,0.3230798187819729,test,0.4510050251256281,0.34289406686330176,0.35304940156299924,0.3400322110783435,0.35304940156299924
Grouped-random,52,14,0.32673250536835224,train,0.4662143826322931,0.35284443718058833,0.36215416877355994,0.34847929138117406,0.36215416877355994
Grouped-random,52,14,0.32673250536835224,validation,0.4298469387755102,0.33621718959091834,0.3403698522638097,0.32673250536835224,0.3403698522638097
Grouped-random,52,14,0.32673250536835224,test,0.4610552763819096,0.34732494609146597,0.35797854512430544,0.34592160563942437,0.35797854512430544
Grouped-random,62,12,0.3228056839927375,train,0.43283582089552236,0.35170899169391334,0.3613385489303143,0.3396739111617096,0.3613385489303143
Grouped-random,62,12,0.3228056839927375,validation,0.3979591836734694,0.3401227356218886,0.34841334288671283,0.3228056839927375,0.34841334288671283
Grouped-random,62,12,0.3228056839927375,test,0.4334170854271357,0.3504960232568224,0.3666939271048706,0.3432303277504516,0.3666939271048706
Spatial holdout,42,4,0.33967062836181633,train,0.4666486632460167,0.3511258146657157,0.36031870886044065,0.34855183550650093,0.36031870886044065
Spatial holdout,42,4,0.33967062836181633,validation,0.4218362282878412,0.35471101566361574,0.3660309739149879,0.33967062836181633,0.3660309739149879
Spatial holdout,42,4,0.33967062836181633,test,0.39285714285714285,0.35215699000074235,0.36433268336064684,0.3180588018619643,0.36433268336064684
Spatial holdout,52,5,0.34880848837895356,train,0.4617877396705374,0.3488489878352501,0.3585989908392384,0.34571588761072886,0.3585989908392384
Spatial holdout,52,5,0.34880848837895356,validation,0.456575682382134,0.35642751790556937,0.36371098867545376,0.34880848837895356,0.36371098867545376
Spatial holdout,52,5,0.34880848837895356,test,0.3915343915343915,0.34852333283530057,0.35829039899733467,0.3152524220868394,0.35829039899733467
Spatial holdout,62,10,0.3465514943227121,train,0.5341614906832298,0.3598485710934482,0.36469089919574754,0.355006991361093,0.36469089919574754
Spatial holdout,62,10,0.3465514943227121,validation,0.5198511166253101,0.35336186195431313,0.3552119385294785,0.3465514943227121,0.3552119385294785
Spatial holdout,62,10,0.3465514943227121,test,0.5701058201058201,0.3580457884953849,0.3472096478782136,0.34164924253259504,0.3472096478782136
