lstm_units,dense_units,dropout,recurrent_dropout,learning_rate,l2_strength,epochs_trained,best_epoch,best_validation_loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
32,16,0.3,0.1,0.001,0.0001,44,19,1.0842489004135132,0.40561224489795916,0.33470856505965174,0.31703370723499535,0.4359488584982766
64,32,0.4,0.1,0.001,0.0001,46,21,1.0990620851516724,0.3622448979591837,0.34999624688662184,0.2948896694627354,0.37960245967980477
32,16,0.5,0.2,0.0005,0.001,54,29,1.117911458015442,0.4362244897959184,0.32570837171744743,0.314755963486333,0.46180911232305966
