accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.3636363744735718,1.2778364419937134,0.24234694242477417,1.1148712635040283,0.0010000000474974513,1
0.3321574032306671,1.136823058128357,0.15688775479793549,1.116180419921875,0.0010000000474974513,2
0.2900949716567993,1.1229496002197266,0.12882652878761292,1.116529107093811,0.0010000000474974513,3
0.27516961097717285,1.116549015045166,0.18622449040412903,1.1090248823165894,0.0010000000474974513,4
0.31723201274871826,1.1167376041412354,0.20025509595870972,1.1053117513656616,0.0010000000474974513,5
0.28738126158714294,1.1094346046447754,0.21045918762683868,1.1099789142608643,0.0010000000474974513,6
0.291994571685791,1.1136349439620972,0.20790816843509674,1.1236530542373657,0.0010000000474974513,7
0.2914518415927887,1.1054109334945679,0.14030611515045166,1.140023112297058,0.0010000000474974513,8
0.26757124066352844,1.1098289489746094,0.20025509595870972,1.1089918613433838,0.0010000000474974513,9
0.28032565116882324,1.1133537292480469,0.2410714328289032,1.1200501918792725,0.0010000000474974513,10
0.2819538712501526,1.1051888465881348,0.22704081237316132,1.1220225095748901,0.0010000000474974513,11
0.29633650183677673,1.1062198877334595,0.2410714328289032,1.1190670728683472,0.0010000000474974513,12
0.31668928265571594,1.1043368577957153,0.37244898080825806,1.0991171598434448,0.0010000000474974513,13
0.28738126158714294,1.1047852039337158,0.2142857164144516,1.1325308084487915,0.0010000000474974513,14
0.3014925420284271,1.1065503358840942,0.27423468232154846,1.1122610569000244,0.0010000000474974513,15
0.3074626922607422,1.1018532514572144,0.2640306055545807,1.121925711631775,0.0010000000474974513,16
0.2781546711921692,1.1072802543640137,0.24617347121238708,1.114504337310791,0.0010000000474974513,17
0.3104477524757385,1.1009162664413452,0.2678571343421936,1.103775143623352,0.0010000000474974513,18
0.3207598328590393,1.103242039680481,0.4056122303009033,1.0842489004135132,0.0010000000474974513,19
0.321573942899704,1.1022642850875854,0.41198980808258057,1.0913019180297852,0.0010000000474974513,20
0.2843962013721466,1.1006152629852295,0.25,1.0986827611923218,0.0010000000474974513,21
0.2740841209888458,1.1043897867202759,0.24744898080825806,1.1017686128616333,0.0010000000474974513,22
0.26675713062286377,1.1028002500534058,0.22576530277729034,1.1101443767547607,0.0010000000474974513,23
0.2683853507041931,1.0981333255767822,0.2410714328289032,1.1121329069137573,0.0010000000474974513,24
0.2852103114128113,1.106348991394043,0.23724490404129028,1.1071823835372925,0.0010000000474974513,25
0.2762551009654999,1.101057767868042,0.24362245202064514,1.1056618690490723,0.0010000000474974513,26
0.291994571685791,1.1026428937911987,0.2767857015132904,1.1010687351226807,0.0010000000474974513,27
0.25481683015823364,1.1007353067398071,0.24744898080825806,1.1053416728973389,0.0010000000474974513,28
0.29823610186576843,1.1016407012939453,0.30484694242477417,1.0991483926773071,0.0010000000474974513,29
0.3161465525627136,1.0991590023040771,0.2895408272743225,1.1003998517990112,0.0005000000237487257,30
0.28982362151145935,1.1005239486694336,0.23724490404129028,1.101926326751709,0.0005000000237487257,31
0.293351411819458,1.1017121076583862,0.23724490404129028,1.1050515174865723,0.0005000000237487257,32
0.2824966013431549,1.0999665260314941,0.2818877696990967,1.104501724243164,0.0005000000237487257,33
0.2819538712501526,1.0985304117202759,0.2857142984867096,1.102179765701294,0.0005000000237487257,34
0.28982362151145935,1.1010756492614746,0.24617347121238708,1.108524203300476,0.0005000000237487257,35
0.2838534712791443,1.097794532775879,0.25765305757522583,1.105381727218628,0.0005000000237487257,36
0.3033921420574188,1.0987015962600708,0.26658162474632263,1.103642463684082,0.0005000000237487257,37
0.27896878123283386,1.0993287563323975,0.24872449040412903,1.1030484437942505,0.0005000000237487257,38
0.2697421908378601,1.098515272140503,0.2678571343421936,1.101696491241455,0.0005000000237487257,39
0.27516961097717285,1.097806692123413,0.28316327929496765,1.0983333587646484,0.0002500000118743628,40
0.2824966013431549,1.0982917547225952,0.3176020383834839,1.097058892250061,0.0002500000118743628,41
0.3023066520690918,1.0975075960159302,0.29209184646606445,1.1007503271102905,0.0002500000118743628,42
0.2966078817844391,1.0979416370391846,0.30484694242477417,1.1004835367202759,0.0002500000118743628,43
0.30447760224342346,1.0965784788131714,0.31887754797935486,1.0998194217681885,0.0002500000118743628,44
