n_estimators,max_depth,min_samples_leaf,max_features,class_weight,accuracy,balanced_accuracy,macro_f1,weighted_f1,max_depth_display
300,,2,sqrt,balanced,0.5420918367346939,0.31705300988319857,0.30067135347393753,0.5168354986874096,None
300,,2,sqrt,balanced_subsample,0.5433673469387755,0.3202336028751123,0.30364393196523437,0.5188630483324079,None
300,,2,0.5,balanced,0.5446428571428571,0.3195867026055705,0.30300261790277516,0.5189287315383909,None
300,,2,0.5,balanced_subsample,0.5408163265306123,0.3176999101527403,0.30132850241545894,0.5167780427388347,None
300,,5,sqrt,balanced,0.5229591836734694,0.3139982030548068,0.2991325111140779,0.5077832681754435,None
300,,5,sqrt,balanced_subsample,0.5204081632653061,0.3127403414195867,0.29825868229858254,0.5055179438099688,None
300,,5,0.5,balanced,0.5229591836734694,0.3114465408805031,0.2968829991756257,0.5065297775174323,None
300,,5,0.5,balanced_subsample,0.5306122448979592,0.3164959568733154,0.3011277612310747,0.5121198993838041,None
300,,10,sqrt,balanced,0.4846938775510204,0.3212116869675981,0.3139309507768973,0.492593913467668,None
300,,10,sqrt,balanced_subsample,0.47959183673469385,0.32252345695861334,0.3137421347158017,0.4882835262644669,None
300,,10,0.5,balanced,0.47831632653061223,0.3068215678915464,0.2995388736310311,0.4830268008942973,None
300,,10,0.5,balanced_subsample,0.4923469387755102,0.3137398068852571,0.30623082201612545,0.4940324252806811,None
300,10.0,2,sqrt,balanced,0.5280612244897959,0.32161725067385444,0.3050697165193315,0.513191840132392,10
300,10.0,2,sqrt,balanced_subsample,0.5204081632653061,0.3191194968553459,0.3031123544463329,0.5088234914753648,10
300,10.0,2,0.5,balanced,0.5165816326530612,0.3197843665768194,0.303651665917412,0.5066368774607811,10
300,10.0,2,0.5,balanced_subsample,0.5216836734693877,0.3184725965858041,0.3032244171269294,0.5094494599870867,10
300,10.0,5,sqrt,balanced,0.49744897959183676,0.32391051667860843,0.3138692929003654,0.4988456219679414,10
300,10.0,5,sqrt,balanced_subsample,0.49362244897959184,0.317157414673536,0.30479929687223833,0.4935589144866735,10
300,10.0,5,0.5,balanced,0.5012755102040817,0.3147888589398023,0.3000162724300655,0.49811240565990744,10
300,10.0,5,0.5,balanced_subsample,0.49362244897959184,0.3084636118598383,0.2939893659373811,0.4902967259245403,10
300,10.0,10,sqrt,balanced,0.4528061224489796,0.31777269780613465,0.3103968767945804,0.46939841382842623,10
300,10.0,10,sqrt,balanced_subsample,0.45918367346938777,0.32091735189418497,0.31374863918067014,0.4752486278407924,10
300,10.0,10,0.5,balanced,0.4655612244897959,0.31432938687775086,0.3061700903110595,0.4778436317645614,10
300,10.0,10,0.5,balanced_subsample,0.45918367346938777,0.3099089017025487,0.3019145435329878,0.4720227848825068,10
300,20.0,2,sqrt,balanced,0.5408163265306123,0.3189757412398922,0.3024855470911681,0.5170173855415404,20
300,20.0,2,sqrt,balanced_subsample,0.5408163265306123,0.3176999101527403,0.3012727657170629,0.516171106826416,20
300,20.0,2,0.5,balanced,0.5459183673469388,0.32021563342318055,0.3036037600728984,0.5201478846640235,20
300,20.0,2,0.5,balanced_subsample,0.5420918367346939,0.31960467205750226,0.30308995930029475,0.5182431705064783,20
300,20.0,5,sqrt,balanced,0.5229591836734694,0.3139982030548068,0.2994686438059932,0.5077233975147056,20
300,20.0,5,sqrt,balanced_subsample,0.5165816326530612,0.30957771787960464,0.2957754313102003,0.5027401434203733,20
300,20.0,5,0.5,balanced,0.5255102040816326,0.31270440251572323,0.2978103323124459,0.5076846396565218,20
300,20.0,5,0.5,balanced_subsample,0.5280612244897959,0.31396226415094336,0.299007166318304,0.5098674939518955,20
300,20.0,10,sqrt,balanced,0.48596938775510207,0.32184061778520817,0.31457631091964594,0.49363778673472025,20
300,20.0,10,sqrt,balanced_subsample,0.48341836734693877,0.3292765589636858,0.32155359232045333,0.49285003555471785,20
300,20.0,10,0.5,balanced,0.48341836734693877,0.31188895333629035,0.3039111972731316,0.4877304064744604,20
300,20.0,10,0.5,balanced_subsample,0.49107142857142855,0.31311087606764704,0.3058707192150043,0.4935975387546456,20
600,,2,sqrt,balanced,0.5446428571428571,0.3208625336927224,0.3042235119244861,0.5197846881100224,None
600,,2,sqrt,balanced_subsample,0.5459183673469388,0.32149146451033245,0.30480336299425986,0.5207055455176117,None
600,,2,0.5,balanced,0.5446428571428571,0.3208625336927224,0.3042235119244861,0.5197846881100224,None
600,,2,0.5,balanced_subsample,0.5459183673469388,0.32149146451033245,0.30480336299425986,0.5207055455176117,None
600,,5,sqrt,balanced,0.5255102040816326,0.3203593890386343,0.3047812702985117,0.5113106837244769,None
600,,5,sqrt,balanced_subsample,0.5229591836734694,0.31527403414195865,0.30077308624165416,0.5086117285509333,None
600,,5,0.5,balanced,0.5331632653061225,0.3164779874213836,0.3008246210728914,0.5135534034669389,None
600,,5,0.5,balanced_subsample,0.5306122448979592,0.3152201257861635,0.29945324807710133,0.5112597374229091,None
600,,10,sqrt,balanced,0.49362244897959184,0.3243383716037167,0.317229681372569,0.49882937595459936,None
600,,10,sqrt,balanced_subsample,0.47831632653061223,0.31679120179239595,0.30967531887520544,0.4863329134912111,None
600,,10,0.5,balanced,0.4897959183673469,0.31503360742434067,0.30691734784726993,0.4929601299877006,None
600,,10,0.5,balanced_subsample,0.49489795918367346,0.3175493306947809,0.3093206113614277,0.49663158929089796,None
600,10.0,2,sqrt,balanced,0.5229591836734694,0.32037735849056603,0.3039414956992018,0.5105050406999331,10
600,10.0,2,sqrt,balanced_subsample,0.5280612244897959,0.3267205750224618,0.30955371722863245,0.5154028723481785,10
600,10.0,2,0.5,balanced,0.5318877551020408,0.3260557053009883,0.3089440810475467,0.5169192250009034,10
600,10.0,2,0.5,balanced_subsample,0.5242346938775511,0.3210062893081761,0.3047049599884652,0.5112896411853979,10
600,10.0,5,sqrt,balanced,0.5012755102040817,0.31837933740489266,0.3069812924181856,0.4995246883621166,10
600,10.0,5,sqrt,balanced_subsample,0.5025510204081632,0.3213229156004413,0.31224626298480623,0.5010176096504925,10
600,10.0,5,0.5,balanced,0.5127551020408163,0.31917340521114107,0.3041765169424744,0.5055603801804409,10
600,10.0,5,0.5,balanced_subsample,0.5165816326530612,0.32233602875112305,0.30682539682539683,0.5090591593780369,10
600,10.0,10,sqrt,balanced,0.4604591836734694,0.3166799731595528,0.3091854217590327,0.4755092082988563,10
600,10.0,10,sqrt,balanced_subsample,0.45790816326530615,0.3156591263206978,0.30581907478413367,0.4733830625559306,10
600,10.0,10,0.5,balanced,0.47066326530612246,0.3119788005959489,0.3025863447855272,0.480376117345754,10
600,10.0,10,0.5,balanced_subsample,0.4719387755102041,0.31619820987864933,0.3082341164066295,0.48215159037812794,10
600,20.0,2,sqrt,balanced,0.5433673469387755,0.3189577717879604,0.30245135347241486,0.5183124612327059,20
600,20.0,2,sqrt,balanced_subsample,0.5433673469387755,0.3202336028751123,0.30364393196523437,0.5188630483324079,20
600,20.0,2,0.5,balanced,0.5433673469387755,0.3202336028751123,0.3036207391698147,0.5185622280590942,20
600,20.0,2,0.5,balanced_subsample,0.5446428571428571,0.3208625336927224,0.3042235119244861,0.5197846881100224,20
600,20.0,5,sqrt,balanced,0.5280612244897959,0.3203414195867026,0.30494313371857634,0.5130874651932988,20
600,20.0,5,sqrt,balanced_subsample,0.5216836734693877,0.3120934411500449,0.29741387272559344,0.5060630029235302,20
600,20.0,5,0.5,balanced,0.5306122448979592,0.3152201257861635,0.2996632996632997,0.5116857349000207,20
600,20.0,5,0.5,balanced_subsample,0.5306122448979592,0.3164959568733154,0.3011547551565951,0.5124235983456972,20
600,20.0,10,sqrt,balanced,0.4846938775510204,0.31738419370614257,0.31090357077100544,0.4909429228342711,20
600,20.0,10,sqrt,balanced_subsample,0.4770408163265306,0.31743810206193773,0.3100392171128746,0.4860080795132152,20
600,20.0,10,0.5,balanced,0.4923469387755102,0.3127009905944704,0.3023493810541808,0.49326838153579544,20
600,20.0,10,0.5,balanced_subsample,0.4961734693877551,0.318178261512391,0.3099684895603263,0.4979455259442765,20
