split_scheme,partition,accuracy,balanced_accuracy,macro_f1,weighted_f1
Grouped-random,train,0.76797829036635,0.7946606528340044,0.7516651616423667,0.7831336176923314
Grouped-random,validation,0.48341836734693877,0.3292765589636858,0.32155359232045333,0.49285003555471785
Grouped-random,test,0.5125628140703518,0.3615134778164159,0.3520112338609649,0.5199853863762292
Spatial holdout,train,0.840939778557926,0.865020454568874,0.8351512070431629,0.8515353927982895
Spatial holdout,validation,0.5620347394540943,0.3609447801146844,0.3477051740236325,0.550002633465468
Spatial holdout,test,0.47883597883597884,0.35164622211886903,0.3134245720747066,0.48500564130462365
