station_id,degree_cent,between_cent,close_cent,degree_cent_norm,between_cent_norm,close_cent_norm,composite_score,rank,road_name,suburb,wgs84_latitude,wgs84_longitude,incident_count
9658,0.07575757575757576,0.3123543123543124,0.0527030527605362,0.42857142453061237,0.9999999967985074,0.9265539200617182,0.7850417804636126,1,Pennant Hills Road,Oatlands,-33.79353,151.018829,115
F3FWY001,0.13636363636363635,0.14545454545454545,0.046873498872806,0.9999999905714286,0.4656716403002004,0.7642570254390363,0.7433095521035552,2,Pacific Motorway,North Wahroonga,-33.694206,151.121323,37
9836-PR,0.09090909090909091,0.20139860139860138,0.05534116681405069,0.5714285660408165,0.644776117338739,0.9999999721596373,0.738734885179731,3,Victoria Road,Ryde,-33.819687,151.117416,31
74230,0.09090909090909091,0.22517482517482518,0.052175973282361655,0.5714285660408165,0.7208955200801179,0.9118798362167915,0.734734640779242,4,Pennant Hills Road,Thornleigh,-33.724735,151.086151,95
7270,0.07575757575757576,0.18041958041958042,0.05460847693404991,0.42857142453061237,0.577611938449287,0.9796016201526551,0.6619283277108515,5,Lane Cove Road,North Ryde,-33.793304,151.119659,126
53003,0.07575757575757576,0.19813519813519814,0.05177497914065624,0.42857142453061237,0.6343283561781576,0.9007160138705131,0.6545385981930943,6,Pacific Highway,Warrawee,-33.729225,151.122208,65
50260,0.06060606060606061,0.22377622377622378,0.052545800856850025,0.28571428302040824,0.7164179081541545,0.9221759700275849,0.6414360537340492,7,Silverwater Road,Rydalmere,-33.819763,151.05188,20
T0345,0.09090909090909091,0.16503496503496504,0.046852246469668256,0.5714285660408165,0.528358207263689,0.7636653508274017,0.621150708043969,8,Galston Road,Hornsby,-33.689632,151.097748,11
T0231,0.09090909090909091,0.11282051282051282,0.05124443129928637,0.5714285660408165,0.3611940286943862,0.8859453695362475,0.6061893214238167,9,Victoria Road,Huntleys Point,-33.838615,151.143753,46
F3FWY002,0.12121212121212122,0.10815850815850817,0.04124404493055318,0.8571428490612247,0.34626865560784137,0.6075309858750062,0.6036474968480241,10,Pacific Motorway,Mount Kuring-Gai,-33.651676,151.137741,112
7251,0.09090909090909091,0.1445221445221445,0.04669257420960124,0.5714285660408165,0.4626865656828914,0.7592200171937586,0.5977783829724889,11,City-West Link Road,Lilyfield,-33.874916,151.155319,139
50240,0.07575757575757576,0.1696969696969697,0.04845578706415259,0.42857142453061237,0.5432835803502338,0.8083085025845165,0.5933878358217876,12,Briens Road,Northmead,-33.796436,150.987595,219
68025,0.10606060606060606,0.1062937062937063,0.04475045025702422,0.7142857075510206,0.3402985063732234,0.7051505819426324,0.5865782652889587,13,Great Western Highway,South Wentworthville,-33.816696,150.976623,207
7179,0.12121212121212122,0.06993006993006994,0.04297650383800387,0.8571428490612247,0.2238805962981733,0.6557632702239771,0.5789289051944584,14,Jersey Road,South Wentworthville,-33.817272,150.962784,400
51235,0.07575757575757576,0.04895104895104895,0.05502496373378137,0.42857142453061237,0.1567164174087213,0.9911967637175898,0.5254948685523079,15,Victoria Road,Ryde,-33.81551,151.101105,206
53004,0.07575757575757576,0.08018648018648018,0.0505036900914438,0.42857142453061237,0.256716417088572,0.8653228656419208,0.5168702357537017,16,Pacific Highway,Gordon,-33.75317,151.151077,248
29005,0.045454545454545456,0.12540792540792542,0.05410850336982989,0.14285714151020412,0.40149253602805746,0.9656821747835794,0.503343950773947,17,Concord Road,Rhodes,-33.824696,151.093216,113
33014,0.07575757575757576,0.0773892773892774,0.04934682344623815,0.42857142453061237,0.2477611932366451,0.8331152786420617,0.5031492988031064,18,Pacific Highway,Lane Cove North,-33.806141,151.17952,218
7163,0.07575757575757576,0.09324009324009325,0.04660478873492958,0.42857142453061237,0.2985074617308977,0.7567760377389712,0.49461830800016043,19,Victoria Road,Rozelle,-33.865181,151.171997,203
7153,0.07575757575757576,0.09230769230769231,0.04621288135136018,0.42857142453061237,0.29552238711358875,0.7458651940349809,0.48998633522639395,20,Olympic Drive,Lidcombe,-33.8651123046875,151.041610717773,90
7161,0.07575757575757576,0.029836829836829837,0.05282377801904044,0.42857142453061237,0.09552238775388726,0.9299149550457156,0.4846695891100718,21,Pennant Hills Road,Pennant Hills,-33.740406,151.060989,113
F3FWY004,0.13636363636363635,0.08251748251748252,0.026119704604721048,0.9999999905714286,0.2641791036318445,0.18646386558205072,0.4835476532617746,22,Pacific Motorway,Bar Point,-33.496265,151.187408,48
50250,0.07575757575757576,0.07552447552447553,0.04669924574711575,0.42857142453061237,0.24179104400202714,0.7594057552179397,0.4765894079168597,23,Hart Drive,Constitution Hill,-33.797592,150.975433,50
7184,0.045454545454545456,0.08344988344988345,0.05210845238820076,0.14285714151020412,0.26716417824915345,0.9100000300334188,0.4400071165975921,24,Ryde Road,West Pymble,-33.772957,151.135391,183
7132,0.09090909090909091,0.08811188811188811,0.035961242618026544,0.5714285660408165,0.2820895513356983,0.46045585341363915,0.43799132359671794,25,Princes Highway,Rockdale,-33.953056,151.137482,145
7112,0.045454545454545456,0.09696969696969697,0.048583023727740045,0.14285714151020412,0.3104477602001336,0.8118508174477271,0.4217185730526883,26,Silverwater Road,Auburn,-33.843338,151.043411,427
7164,0.09090909090909091,0.002331002331002331,0.043798713818709215,0.5714285660408165,0.007462686543272442,0.6786538943036543,0.4191817156292477,27,Great Western Highway,South Wentworthville,-33.81562,150.969238,55
74229,0.045454545454545456,0.057342657342657345,0.052001557755309784,0.14285714151020412,0.1835820889645021,0.9070240446828841,0.41115442505253014,28,Beecroft Road,Cheltenham,-33.760658,151.07962,63
9849,0.06060606060606061,0.08578088578088577,0.04301268338387549,0.28571428302040824,0.2746268647924259,0.6567705219034207,0.40570388990541834,29,The Boulevarde,Strathfield,-33.877975,151.093185,25
7168,0.09090909090909091,0.05268065268065268,0.036107199164342074,0.5714285660408165,0.1686567158779572,0.46451933660173017,0.401534872840168,30,Great Western Highway,Blacktown,-33.798195,150.897125,84
74228,0.06060606060606061,0.027972027972027972,0.04773925189971344,0.28571428302040824,0.08955223851926931,0.7883599037181105,0.3878754750859293,31,New Line Road,Cherrybrook,-33.723019,151.036606,28
T0085,0.07575757575757576,0.019580419580419582,0.04302338280112962,0.42857142453061237,0.06268656696348852,0.657068397560471,0.3827754630181906,32,Galston Road,Hornsby Heights,-33.665455,151.090271,14
T0479-PR,0.13636363636363635,0.0009324009324009324,0.023569711487403507,0.9999999905714286,0.002985074617308977,0.11547113230945565,0.37281873249939773,33,Pacific Motorway,Mount White,-33.454525,151.206726,81
32029,0.045454545454545456,0.029836829836829837,0.0510225780453383,0.14285714151020412,0.09552238775388726,0.8797688944798127,0.37271614124796804,34,Burns Bay Road,Lane Cove West,-33.821175,151.149902,41
7121,0.06060606060606061,0.07645687645687646,0.03990082984230257,0.28571428302040824,0.24477611861933612,0.5701353906319049,0.3668752640905497,35,South Dowling Street,Surry Hills,-33.886032,151.218079,298
22001,0.06060606060606061,0.06433566433566433,0.04125999829141366,0.28571428302040824,0.2059701485943194,0.6079751332276709,0.3665531882807995,36,Military Road,Mosman,-33.825577,151.233261,64
7275,0.06060606060606061,0.05081585081585081,0.042763158752224646,0.28571428302040824,0.16268656664333925,0.6498236656552887,0.36607483843967875,37,Georges River Road,Croydon Park,-33.894714,151.110962,57
F3FWY003,0.10606060606060606,0.0,0.030266678750020384,0.7142857075510206,0.0,0.3019171299011647,0.3387342791507284,38,Pacific Motorway,Cowan,-33.560299,151.192551,207
57025,0.06060606060606061,0.05407925407925408,0.03893601126958087,0.28571428302040824,0.17313432780392068,0.5432744916261341,0.3340410341501543,39,Forest Way,Belrose,-33.725773,151.219788,57
7119-PR,0.06060606060606061,0.0,0.0446150030199559,0.28571428302040824,0.0,0.7013796817357265,0.32903132158537823,40,Hawkesbury Road,Merrylands,-33.817974,150.981827,73
7139,0.06060606060606061,0.03636363636363636,0.039255833920308826,0.28571428302040824,0.1164179100750501,0.5521784702225738,0.31810355443934407,41,New South Head Road,Darlinghurst,-33.876884,151.228683,178
47024,0.045454545454545456,0.0,0.04768627792037565,0.14285714151020412,0.0,0.7868850889196016,0.30991407680993527,42,Parramatta Road,Auburn,-33.83889,151.029022,109
F3FWY005,0.12121212121212122,0.0,0.021999344264954153,0.8571428490612247,0.0,0.07175153926182856,0.3096314627743511,43,Pacific Motorway,Calga,-33.429348,151.22467,122
66249,0.06060606060606061,0.025174825174825173,0.03816404629725422,0.28571428302040824,0.08059701466734237,0.5217827068036626,0.29603133483047106,44,Fairfield Street,Fairfield East,-33.869324,150.963486,2
72027,0.045454545454545456,0.017715617715617714,0.04353401563912096,0.14285714151020412,0.05671641772887056,0.6712846009774753,0.29028605340551666,45,Windsor Road,Baulkham Hills,-33.740467,150.984421,20
10011,0.06060606060606061,0.0,0.039132896287045124,0.28571428302040824,0.0,0.5487558419228413,0.2781567083144165,46,New South Head Road,Edgecliff,-33.876652,151.230606,178
7248,0.045454545454545456,0.02703962703962704,0.04100136288648832,0.14285714151020412,0.08656716390196034,0.6007746297470853,0.2767329783864166,47,Stacey Street,Bankstown,-33.906151,151.040207,196
7272,0.045454545454545456,0.027505827505827505,0.03924891413057602,0.14285714151020412,0.08805970121061482,0.551985820766594,0.2609675544958043,48,Edgar Street,Bankstown,-33.916008,151.014008,2
34016,0.06060606060606061,0.01818181818181818,0.03507182976866887,0.28571428302040824,0.05820895503752505,0.435694277096096,0.2598725050513431,49,Condamine Street,Manly Vale,-33.778187,151.267136,59
7150,0.045454545454545456,0.0,0.042027670844139456,0.14285714151020412,0.0,0.6293474155315874,0.2574015190139305,50,Showground Road,Castle Hill,-33.724922,150.977127,20
F3FWY006,0.10606060606060606,0.0,0.019422095540467706,0.7142857075510206,0.0,0.0,0.2380952358503402,51,Pacific Motorway,Somersby,-33.395744,151.297058,23
7120,0.045454545454545456,0.0,0.03984731906475936,0.14285714151020412,0.0,0.5686456311766596,0.23716759089562123,52,South Dowling Street,Surry Hills,-33.886311,151.217911,298
T0342,0.045454545454545456,0.0,0.0392210230741774,0.14285714151020412,0.0,0.5512093236403268,0.2313554883835103,53,Galston Road,Galston,-33.65556,151.063828,16
T0290,0.09090909090909091,0.0,0.023587849794175685,0.5714285660408165,0.0,0.1159761093487852,0.2291348917965339,54,Pacific Motorway Hvcs,Mount White,-33.454796,151.205872,81
7274,0.07575757575757576,0.002797202797202797,0.028336131310739712,0.42857142453061237,0.008955223851926932,0.2481699889790282,0.22856554578718916,55,Great Western Highway,Minchinbury,-33.779202,150.814102,80
T0337,0.045454545454545456,0.0,0.03886011829814945,0.14285714151020412,0.0,0.5411616037749843,0.22800624842839615,56,Galston Road,Galston,-33.654926,151.060974,16
23067,0.045454545454545456,0.0,0.03793611292471914,0.14285714151020412,0.0,0.5154369590404968,0.21943136685023365,57,Marsh Street,Arncliffe,-33.934475,151.15831,181
100001,0.045454545454545456,0.0,0.03514988996592579,0.14285714151020412,0.0,0.4378675013002837,0.19357488093682926,58,Cambridge Street,Canley Heights,-33.878181,150.924942,13
7159,0.045454545454545456,0.0,0.03404773597757144,0.14285714151020412,0.0,0.4071831345115308,0.18334675867391162,59,Cambridge Street,Canley Heights,-33.888157,150.922974,66
T0288,0.07575757575757576,0.0009324009324009324,0.023638043880195546,0.42857142453061237,0.002985074617308977,0.1173735309090513,0.18297667668565754,60,Pacific Motorway Hvcs,Mount White,-33.455536,151.205093,81
T0289,0.07575757575757576,0.0004662004662004662,0.02361847141145473,0.42857142453061237,0.0014925373086544884,0.11682862628034209,0.18229752937320298,61,Pacific Motorway Hvcs,Mount White,-33.455235,151.205383,81
55049,0.045454545454545456,0.0,0.031907029764137694,0.14285714151020412,0.0,0.3475850970920579,0.163480746200754,62,Pittwater Road,Collaroy,-33.729507,151.30011,50
9827,0.045454545454545456,0.0,0.031787771371714804,0.14285714151020412,0.0,0.3442649001918,0.16237401390066805,63,Pittwater Road,Narrabeen,-33.719955,151.298111,29
7126,0.045454545454545456,0.0,0.027357866091100642,0.14285714151020412,0.0,0.22093473044595788,0.12126395731872068,64,Kingsway,Miranda,-34.035271,151.113007,78
9834-PR,0.045454545454545456,0.0,0.027041971685777138,0.14285714151020412,0.0,0.2121401156263588,0.11833241904552098,65,Kingsway,Miranda,-34.033203,151.092529,19
7162,0.045454545454545456,0.0,0.026693359725158378,0.14285714151020412,0.0,0.2024346322006315,0.11509725790361187,66,Kingsway,Woolooware,-34.045811,151.133041,28
7123-PR,0.030303030303030304,0.0,0.02528337877396379,0.0,0.0,0.16318025111708748,0.05439341703902916,67,Pages Road,St Marys,-33.769588,150.768738,65
