lstm_units,dense_units,dropout,recurrent_dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,16,0.2,0.1,0.001,0.0001,9,3,0.350765306122449,0.33884927269211956,0.3331289084245542,0.33884927269211956,0.2966545982297039,0.380427076970557
64,32,0.3,0.1,0.001,0.0001,22,16,0.3864795918367347,0.3345331923072549,0.33189346345998166,0.3345331923072549,0.3111330686867636,0.42330632003178303
32,16,0.4,0.2,0.0005,0.001,11,5,0.461734693877551,0.3493306947808978,0.36547597427333695,0.3493306947808978,0.32722383649539527,0.48661515019045826
