lstm_units,dense_units,dropout,recurrent_dropout,learning_rate,l2_strength,epochs_trained,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
32,16,0.2,0.1,0.001,0.0001,19,13,0.32653061224489793,0.3295420064371581,0.3249142016235284,0.3295420064371581,0.2843960359490736,0.35946139969484336
64,32,0.3,0.1,0.001,0.0001,7,1,0.39413265306122447,0.3185137671022553,0.3184435341001895,0.3185137671022553,0.30054204587871397,0.4234481584613313
32,16,0.4,0.2,0.0005,0.001,7,1,0.37755102040816324,0.32941963219488896,0.32976549845568126,0.32941963219488896,0.3051868349651014,0.41897640516387075
