accuracy,loss,val_accuracy,val_loss,val_macro_f1,epoch
0.3962008059024811,1.1557018756866455,0.21811224520206451,1.158715844154358,0.20740491111316048,1
0.34789687395095825,1.1497689485549927,0.2232142835855484,1.1501895189285278,0.22248228076565854,2
0.35223880410194397,1.1428395509719849,0.24872449040412903,1.1389262676239014,0.23900042142073755,3
0.36065128445625305,1.1380218267440796,0.2538265287876129,1.1412043571472168,0.24314500517567864,4
0.38236093521118164,1.1341543197631836,0.46173468232154846,1.1307168006896973,0.32722383649539527,5
0.40786975622177124,1.1311969757080078,0.31887754797935486,1.1315721273422241,0.2773270104194496,6
0.48059701919555664,1.127081036567688,0.2780612111091614,1.1309831142425537,0.25507296889174724,7
0.4510176479816437,1.1238195896148682,0.33290815353393555,1.126228928565979,0.2862341828638586,8
0.4580732583999634,1.1249028444290161,0.30102041363716125,1.1294126510620117,0.26939443434346827,9
0.486024409532547,1.1211246252059937,0.29591837525367737,1.1257215738296509,0.26550331403025296,10
0.4618724584579468,1.1185686588287354,0.26530611515045166,1.1285566091537476,0.25032907080274813,11
