split_scheme,partition,best_epoch,accuracy,balanced_accuracy,macro_f1,weighted_f1
Grouped-random,train,6,0.3834464043419267,0.35400133972009895,0.3183019523540476,0.4241778366886923
Grouped-random,validation,6,0.39158163265306123,0.30761404346787674,0.29739834110857455,0.43193623381921853
Grouped-random,test,6,0.4045226130653266,0.3613129116494074,0.33047477382737495,0.4441169310029507
Spatial holdout,train,3,0.4084124830393487,0.36435846602177024,0.3327457590016825,0.4443255794535266
Spatial holdout,validation,3,0.40561224489795916,0.32752760812947107,0.31154846711582795,0.4386698523230155
Spatial holdout,test,3,0.41708542713567837,0.35293444402828494,0.32765103231911746,0.4488480448408344
