d_model,num_heads,ff_dim,dropout,learning_rate,l2_strength,epochs_trained,best_epoch,best_validation_loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
32,2,64,0.2,0.001,0.0001,57,32,1.097034215927124,0.33290816326530615,0.3155360696941781,0.28122890291357877,0.3694056692423463
48,4,96,0.3,0.0005,0.0001,31,6,1.1038333177566528,0.39158163265306123,0.30761404346787674,0.29739834110857455,0.43193623381921853
32,4,64,0.4,0.0005,0.001,126,101,1.0969589948654175,0.32908163265306123,0.3365234797047551,0.28046056419113413,0.3463977300764865
