max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iteration,best_validation_mlogloss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
3,0.03,5,0.8,0.8,0.0,2.0,1395,1.0405041661246546,0.4221938775510204,0.310096329910039,0.31548308322501867,0.310096329910039,0.30099288790871154,0.4504457062033289
3,0.03,5,0.8,0.8,0.5,2.0,271,1.0761616125094646,0.35586734693877553,0.3150465727251015,0.3176418139994299,0.3150465727251015,0.2890697332293914,0.39143097237162505
3,0.03,15,0.8,0.8,0.0,2.0,1531,1.042564974270989,0.41964285714285715,0.32726489019300103,0.330769182456299,0.32726489019300103,0.31367043690396984,0.44941426670468587
3,0.03,15,0.8,0.8,0.5,2.0,1536,1.0428987700606183,0.4107142857142857,0.31672023383033654,0.32154916603584427,0.31672023383033654,0.3040703065364824,0.44132169727997494
3,0.07,5,0.8,0.8,0.0,2.0,270,1.0595594771130352,0.3788265306122449,0.3140830461632946,0.3186575586575587,0.3140830461632946,0.2962016787722918,0.41382738424482646
3,0.07,5,0.8,0.8,0.5,2.0,270,1.0605519687642857,0.38137755102040816,0.3291380349608198,0.3276788123447186,0.3291380349608198,0.304693046691578,0.4141857273324327
3,0.07,15,0.8,0.8,0.0,2.0,270,1.063487234962534,0.375,0.31243326850682956,0.3195459942507186,0.31243326850682956,0.29326418174958396,0.4110384680495782
3,0.07,15,0.8,0.8,0.5,2.0,270,1.063968904240399,0.3711734693877551,0.31517577080987635,0.3208685544862248,0.31517577080987635,0.29470851830308203,0.4075960766223453
5,0.03,5,0.8,0.8,0.0,2.0,870,1.010412840780859,0.45153061224489793,0.3143550900178557,0.3210598602584665,0.3143550900178557,0.31016189059443433,0.4700825352454748
5,0.03,5,0.8,0.8,0.5,2.0,749,1.01547368472366,0.44260204081632654,0.3091507728001638,0.3119860923664947,0.3091507728001638,0.3012213663348693,0.4638736758156112
5,0.03,15,0.8,0.8,0.0,2.0,656,1.0308094356513144,0.42091836734693877,0.31920001819691335,0.3239326736393307,0.31920001819691335,0.30850704441629234,0.4489861581509258
5,0.03,15,0.8,0.8,0.5,2.0,860,1.0245536867985312,0.43112244897959184,0.3170505078076131,0.3204771655497642,0.3170505078076131,0.30686399518745805,0.45549180160326186
5,0.07,5,0.8,0.8,0.0,2.0,270,1.0219058387494666,0.43494897959183676,0.3064160041852901,0.3112198737198737,0.3064160041852901,0.300082503392094,0.45897019495879793
5,0.07,5,0.8,0.8,0.5,2.0,354,1.0153126389985638,0.4451530612244898,0.3127232818133224,0.31729588257514435,0.3127232818133224,0.30588268766164567,0.46587282100587873
5,0.07,15,0.8,0.8,0.0,2.0,271,1.030041998005187,0.41964285714285715,0.3259890591058492,0.3302899873918525,0.3259890591058492,0.31323369990941324,0.4485141928317404
5,0.07,15,0.8,0.8,0.5,2.0,283,1.0277731481711476,0.4298469387755102,0.3307834908503645,0.336427078668458,0.3307834908503645,0.32054055129575665,0.45855722471970206
