split_scheme,seed,partition,best_iteration,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,train,672,0.7381275440976933,0.7952718187597928,0.7261383933039379,0.7952718187597928,0.7267217059422814,0.7539565604579851
Grouped-random,42,validation,672,0.4362244897959184,0.33288932864762816,0.3361299778179574,0.33288932864762816,0.32191735896139956,0.4630866858751753
Grouped-random,42,test,672,0.4434673366834171,0.3478690442773735,0.3488347750523364,0.3478690442773735,0.33133141271489336,0.4670150026564695
Grouped-random,52,train,283,0.7362279511533243,0.7943422038859548,0.7256604020743452,0.7943422038859548,0.7253576576134405,0.7523822138493811
Grouped-random,52,validation,283,0.4298469387755102,0.3307834908503645,0.336427078668458,0.3307834908503645,0.32054055129575665,0.45855722471970206
Grouped-random,52,test,283,0.4610552763819096,0.37407559007624364,0.3735474450332319,0.37407559007624364,0.3545607260510068,0.4832845259085531
Grouped-random,62,train,482,0.7736770691994572,0.8230132628659118,0.7757661289713069,0.8230132628659118,0.7666014546084058,0.7885440046121208
Grouped-random,62,validation,482,0.44260204081632654,0.33220648947422293,0.3378938004567789,0.33220648947422293,0.3239455302783727,0.4670384970627675
Grouped-random,62,test,482,0.47110552763819097,0.3790047336375499,0.38030471370626917,0.3790047336375499,0.3608425625587775,0.49288783653309504
Spatial holdout,42,train,939,0.8212260329462598,0.8580351019408082,0.823074489922316,0.8580351019408082,0.8160005303254407,0.8329915764886865
Spatial holdout,42,validation,939,0.4913151364764268,0.3676168215161866,0.3708389596417403,0.3676168215161866,0.3536674269804145,0.5107777089743472
Spatial holdout,42,test,939,0.4074074074074074,0.33403960905268965,0.3135497105892611,0.33403960905268965,0.2860751666592741,0.4196965730917943
Spatial holdout,52,train,477,0.8304077774777208,0.8630675479744463,0.8337790541225947,0.8630675479744463,0.8249175066756197,0.8416814046411726
Spatial holdout,52,validation,477,0.4826302729528536,0.35940781652901427,0.3637426618388529,0.35940781652901427,0.3468724369938792,0.5017162679479861
Spatial holdout,52,test,477,0.4074074074074074,0.33403960905268965,0.31192964479068314,0.33403960905268965,0.2864301503094607,0.4197282833705248
Spatial holdout,62,train,471,0.8277072643802322,0.8622729512322929,0.8327024019726759,0.8622729512322929,0.8231259296144624,0.8392701543592935
Spatial holdout,62,validation,471,0.47270471464019853,0.36055082508697595,0.3704485118656644,0.36055082508697595,0.3474514700514189,0.49416453883421235
Spatial holdout,62,test,471,0.40343915343915343,0.3282406061663082,0.2946983446076005,0.3282406061663082,0.27680829695218184,0.4130472097698317
