max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iteration,best_validation_mlogloss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
3,0.03,5,0.8,0.8,0.0,2.0,720,1.0555085189716549,0.37755102040816324,0.3003680325724749,0.3077352472089314,0.3003680325724749,0.2854313553563682,0.41103218645201
3,0.03,5,0.8,0.8,0.5,2.0,827,1.0515977076577896,0.39285714285714285,0.30791520238379566,0.31565392395212594,0.30791520238379566,0.2941339079040105,0.4263129615698926
3,0.03,15,0.8,0.8,0.0,2.0,804,1.0542127179856202,0.3864795918367347,0.325511617591866,0.3284129207469616,0.325511617591866,0.3043737682145346,0.42059692997733633
3,0.03,15,0.8,0.8,0.5,2.0,845,1.0528865217858432,0.38903061224489793,0.32039032379132687,0.32570226672229174,0.32039032379132687,0.30300836363192024,0.4244026924402625
3,0.07,5,0.8,0.8,0.0,2.0,801,1.0327275846039459,0.43112244897959184,0.3206409862727035,0.32585617962976454,0.3206409862727035,0.3107338197120089,0.45814828038079364
3,0.07,5,0.8,0.8,0.5,2.0,719,1.0343192924118163,0.41709183673469385,0.3188260716276002,0.3223105449683286,0.3188260716276002,0.3055798836381743,0.4459025304170569
3,0.07,15,0.8,0.8,0.0,2.0,718,1.0400605919979968,0.42091836734693877,0.3276568062142459,0.33273344098815794,0.3276568062142459,0.31549287914399476,0.4528572841287582
3,0.07,15,0.8,0.8,0.5,2.0,720,1.0392954822021478,0.41709183673469385,0.3283216759357194,0.3332675093910307,0.3283216759357194,0.3146901290801158,0.44917214197519395
5,0.03,5,0.8,0.8,0.0,2.0,816,1.0100817956809638,0.4477040816326531,0.30552435543121,0.3059726792748551,0.30552435543121,0.29746773737439225,0.46517881709065
5,0.03,5,0.8,0.8,0.5,2.0,787,1.0129903439261323,0.4451530612244898,0.3055423248831417,0.30558542063057664,0.3055423248831417,0.29735612141102935,0.4639371313748385
5,0.03,15,0.8,0.8,0.0,2.0,723,1.027724938334099,0.43239795918367346,0.32868788881685945,0.3310083083213711,0.32868788881685945,0.3168664745512677,0.459316464078533
5,0.03,15,0.8,0.8,0.5,2.0,803,1.0247602724109073,0.43112244897959184,0.32167980256349016,0.3265537961209238,0.32167980256349016,0.31290532184703096,0.456643801644408
5,0.07,5,0.8,0.8,0.0,2.0,334,1.018715282170368,0.4362244897959184,0.3057691039157483,0.31003550279251213,0.3057691039157483,0.2995106036097149,0.45644419603953845
5,0.07,5,0.8,0.8,0.5,2.0,337,1.0161872939586791,0.42857142857142855,0.28484492817905765,0.28805016186429966,0.28484492817905765,0.27916210524906176,0.4488601973074023
5,0.07,15,0.8,0.8,0.0,2.0,482,1.024096023942325,0.44260204081632654,0.33220648947422293,0.3378938004567789,0.33220648947422293,0.3239455302783727,0.4670384970627675
5,0.07,15,0.8,0.8,0.5,2.0,359,1.0287625213552798,0.42346938775510207,0.31663038657067794,0.3224379454411403,0.31663038657067794,0.3079077216152986,0.4507736937449585
