iteration,validation_mlogloss
0,1.0985837730826165
1,1.0977127073066575
2,1.0969777449357265
3,1.0967140220561806
4,1.096323409402857
5,1.0958090263361833
6,1.0952637487528276
7,1.0950113198890978
8,1.0946138504968614
9,1.0943372566633078
10,1.0939119126723738
11,1.093375587417763
12,1.0929957051210257
13,1.0925111531146936
14,1.0923149544669657
15,1.0922844825806666
16,1.0918414171557038
17,1.0914691198541193
18,1.0912817341028427
19,1.0907451917930526
20,1.0902273358435046
21,1.0900850617611895
22,1.0900040111523501
23,1.0897223513801486
24,1.0894731702853222
25,1.089577832924468
26,1.0895656172414214
27,1.0892551727592945
28,1.0891391645584787
29,1.0888303062897555
30,1.0885590898747346
31,1.0878363930601247
32,1.0877974573902938
33,1.0873385517268765
34,1.0869705974295432
35,1.0866754585686995
36,1.0866342222660172
37,1.0862558385243222
38,1.0861666177456477
39,1.08601850643754
40,1.085604026685564
41,1.08467896031786
42,1.0849375960474112
43,1.084552666818609
44,1.0841053905991875
45,1.0839713137520819
46,1.0840023783396702
47,1.0837203107622204
48,1.0835487754369268
49,1.0836479161314818
50,1.0834748865846469
51,1.083407241775065
52,1.0833289323716748
53,1.0833482552243738
54,1.0828258966152766
55,1.0826858591516406
56,1.0823416885520731
57,1.081619565432169
58,1.0815355330705643
59,1.0813879940126623
60,1.0807748782087345
61,1.080509849881031
62,1.0805748419037886
63,1.080463561172388
64,1.0801729109062224
65,1.0802035348451868
66,1.0802222617274644
67,1.0803245981889111
68,1.0803303016843844
69,1.0801933113561601
70,1.079907937925689
71,1.079990181995898
72,1.079864611887202
73,1.079869984820181
74,1.0797790927546365
75,1.0794200165843477
76,1.0791966253701522
77,1.0791594764711905
78,1.0788143367639609
79,1.0787449456295188
80,1.0784887351399781
81,1.0783344246447086
82,1.0786089189350605
83,1.0782006582131192
84,1.0783792367699194
85,1.077917110326947
86,1.0778049663165394
87,1.077494423456338
88,1.0771653469727964
89,1.0772161975655021
90,1.0770541583853108
91,1.0765826480121028
92,1.0766411999202505
93,1.0767274081554947
94,1.0766472715352262
95,1.076232553136592
96,1.0763857204999243
97,1.0763028616047636
98,1.0760662813423847
99,1.075817492391382
100,1.0757372806570968
101,1.075610878820322
102,1.0751999007652
103,1.075066624703456
104,1.074793766271703
105,1.0745049769020811
106,1.074249619351966
107,1.0741302751917012
108,1.073829842845396
109,1.073740438159023
110,1.073417432340128
111,1.0732454920605736
112,1.073053463609243
113,1.0725331136158534
114,1.0725947002671203
115,1.0724992085324259
116,1.0725476692753786
117,1.0719655710367524
118,1.0718394038552532
119,1.0715993258874028
120,1.0716045896845812
121,1.0713897917267619
122,1.0711656825198812
123,1.071365828986983
124,1.0714845287480526
125,1.0713461686533934
126,1.0710763346251784
127,1.0710624936892061
128,1.0710817510452197
129,1.071140125279828
130,1.0711717183644673
131,1.071169199460015
132,1.0708943158008006
133,1.070621525298576
134,1.070515888267938
135,1.0703909237089815
136,1.0704059033293505
137,1.070432419945695
138,1.0702270589464782
139,1.0701305862440138
140,1.0698102736959652
141,1.0695387101447096
142,1.0695313500354484
143,1.0695916149689226
144,1.0692137068859777
145,1.0689915130485077
146,1.0686624633642483
147,1.0682428599316247
148,1.0681484744941094
149,1.0680485906801662
150,1.0681456699587253
151,1.0678136789296964
152,1.0679843799420157
153,1.0681008406135502
154,1.0676817352294314
155,1.067355069084739
156,1.0674676674285106
157,1.0672173783259125
158,1.067247792052067
159,1.0672667844563115
160,1.0672403990234038
161,1.0670558617127186
162,1.0667293088852752
163,1.0665841464485442
164,1.0665397916217239
165,1.0665266542334337
166,1.0661887574788866
167,1.0661494999135634
168,1.0660880279100062
169,1.0656529518642597
170,1.065903826635711
171,1.0655771122523108
172,1.0655641854949751
173,1.0654277989298713
