split_scheme,seed,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iteration,best_validation_mlogloss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,5.0,0.03,15.0,0.8,0.8,0.0,2.0,672.0,1.0298314556023296,0.4362244897959184,0.33288932864762816,0.3361299778179574,0.33288932864762816,0.32191735896139956,0.4630866858751753
Grouped-random,52,5.0,0.07,15.0,0.8,0.8,0.5,2.0,283.0,1.0277731481711476,0.4298469387755102,0.3307834908503645,0.336427078668458,0.3307834908503645,0.32054055129575665,0.45855722471970206
Grouped-random,62,5.0,0.07,15.0,0.8,0.8,0.0,2.0,482.0,1.024096023942325,0.44260204081632654,0.33220648947422293,0.3378938004567789,0.33220648947422293,0.3239455302783727,0.4670384970627675
Spatial holdout,42,5.0,0.03,5.0,0.8,0.8,0.5,2.0,939.0,0.999390162185537,0.4913151364764268,0.3676168215161866,0.3708389596417403,0.3676168215161866,0.3536674269804145,0.5107777089743472
Spatial holdout,52,5.0,0.07,5.0,0.8,0.8,0.0,2.0,477.0,1.0019335886625291,0.4826302729528536,0.35940781652901427,0.3637426618388529,0.35940781652901427,0.3468724369938792,0.5017162679479861
Spatial holdout,62,5.0,0.07,5.0,0.8,0.8,0.0,2.0,471.0,1.0040450841604407,0.47270471464019853,0.36055082508697595,0.3704485118656644,0.36055082508697595,0.3474514700514189,0.49416453883421235
