match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
18479658,18479658,2025-01-08 00:00:00+00,9658,hour_00,44.0,0,2025-01-08 00:00:00
17126148,17126148,2025-01-08 00:00:00+00,7126,hour_00,,0,2025-01-08 00:00:00
18479658,18479658,2025-01-08 00:00:00+00,9658,hour_00,22.0,0,2025-01-08 00:00:00
17126149,17126149,2025-01-08 00:00:00+00,7126,hour_00,63.0,0,2025-01-08 00:00:00
15334016,15334016,2025-01-08 00:00:00+00,34016,hour_00,7.0,0,2025-01-08 00:00:00
18479658,18479658,2025-01-08 00:00:00+00,9658,hour_00,6.0,0,2025-01-08 00:00:00
15334016,15334016,2025-01-08 00:00:00+00,34016,hour_00,78.0,0,2025-01-08 00:00:00
17126148,17126148,2025-01-08 00:00:00+00,7126,hour_00,,0,2025-01-08 00:00:00
18479658,18479658,2025-01-09 00:00:00+00,9658,hour_00,4.0,0,2025-01-09 00:00:00
15334016,15334016,2025-01-09 00:00:00+00,34016,hour_00,32.0,0,2025-01-09 00:00:00
18479658,18479658,2025-01-09 00:00:00+00,9658,hour_00,20.0,0,2025-01-09 00:00:00
17126148,17126148,2025-01-09 00:00:00+00,7126,hour_00,,0,2025-01-09 00:00:00
17126149,17126149,2025-01-09 00:00:00+00,7126,hour_00,103.0,0,2025-01-09 00:00:00
15334016,15334016,2025-01-09 00:00:00+00,34016,hour_00,39.0,0,2025-01-09 00:00:00
17126149,17126149,2025-01-09 00:00:00+00,7126,hour_00,6.0,0,2025-01-09 00:00:00
17126147,17126147,2025-01-09 00:00:00+00,7126,hour_00,4.0,0,2025-01-09 00:00:00
17126148,17126148,2025-01-09 00:00:00+00,7126,hour_00,,0,2025-01-09 00:00:00
18479658,18479658,2025-01-09 00:00:00+00,9658,hour_00,4.0,0,2025-01-09 00:00:00
18479658,18479658,2025-01-09 00:00:00+00,9658,hour_00,39.0,0,2025-01-09 00:00:00
17126147,17126147,2025-01-09 00:00:00+00,7126,hour_00,10.0,0,2025-01-09 00:00:00
17126147,17126147,2025-01-10 00:00:00+00,7126,hour_00,3.0,0,2025-01-10 00:00:00
15334016,15334016,2025-01-10 00:00:00+00,34016,hour_00,99.0,0,2025-01-10 00:00:00
18479658,18479658,2025-01-10 00:00:00+00,9658,hour_00,4.0,0,2025-01-10 00:00:00
17126149,17126149,2025-01-10 00:00:00+00,7126,hour_00,11.0,0,2025-01-10 00:00:00
18479658,18479658,2025-01-10 00:00:00+00,9658,hour_00,46.0,0,2025-01-10 00:00:00
17126149,17126149,2025-01-10 00:00:00+00,7126,hour_00,143.0,0,2025-01-10 00:00:00
17126147,17126147,2025-01-10 00:00:00+00,7126,hour_00,10.0,0,2025-01-10 00:00:00
15334016,15334016,2025-01-10 00:00:00+00,34016,hour_00,11.0,0,2025-01-10 00:00:00
18479658,18479658,2025-01-11 00:00:00+00,9658,hour_00,104.0,0,2025-01-11 00:00:00
17126149,17126149,2025-01-11 00:00:00+00,7126,hour_00,6.0,0,2025-01-11 00:00:00
15334016,15334016,2025-01-11 00:00:00+00,34016,hour_00,18.0,0,2025-01-11 00:00:00
17126147,17126147,2025-01-11 00:00:00+00,7126,hour_00,7.0,0,2025-01-11 00:00:00
17126147,17126147,2025-01-11 00:00:00+00,7126,hour_00,2.0,0,2025-01-11 00:00:00
18479658,18479658,2025-01-11 00:00:00+00,9658,hour_00,5.0,0,2025-01-11 00:00:00
17126147,17126147,2025-01-11 00:00:00+00,7126,hour_00,10.0,0,2025-01-11 00:00:00
