sample_id,incident_id,station_id,anchor_time,target,split_group_id,is_control,control_fallback_flag,duration_hours,log_flow_m3,rel_change_m3,log_flow_m2,rel_change_m2,log_flow_m1,rel_change_m1,log_flow_p0,rel_change_p0,log_flow_p1,rel_change_p1,log_flow_p2,rel_change_p2,log_flow_p3,rel_change_p3,pre_mean,response_mean,mean_shift,response_min,max_abs_relative_change,pre_slope,response_slope,partition
INC_219957-webtirf_10011,219957-webtirf,10011,2025-01-08 19:00:00,ACCIDENT,G000004,0,0,1.202793888888889,7.3632795869630385,0.0,7.457609289715606,0.09892200380469246,7.301822342137932,-0.05960684844641725,6.77078942390898,-0.44705136334812934,6.593044534142437,-0.5370957514267597,6.620073206530356,-0.5244134432466709,6.257667587882639,-0.6689917564996829,1596.6666666666667,717.5,-879.1666666666667,521.0,0.6689917564996829,-46.999999999999865,-103.00000000000007,train
INC_221139-webtirf_10011,221139-webtirf,10011,2025-01-17 21:00:00,OTHER_DISRUPTION,G000005,0,0,1.5214816666666666,4.59511985013459,1.3571428571428572,3.7376696182833684,0.0,3.6375861597263857,-0.09523809523809523,3.4339872044851463,-0.2619047619047619,3.091042453358316,-0.47619047619047616,2.5649493574615367,-0.6904761904761905,2.4849066497880004,-0.7142857142857143,58.666666666666664,18.5,-40.166666666666664,11.0,1.3571428571428572,-30.499999999999993,-6.600000000000003,train
INC_221259-webtirf_10011,221259-webtirf,10011,2025-01-18 23:00:00,ACCIDENT,G000006,0,0,0.5,3.912023005428146,0.8518518518518519,3.295836866004329,0.0,3.258096538021482,-0.037037037037037035,3.1354942159291497,-0.14814814814814814,6.814542897259958,5.0,6.395261598115449,5.0,6.0844994130751715,5.0,33.333333333333336,492.0,458.6666666666667,22.0,5.0,-11.999999999999996,93.6,train
INC_222066-webtirf_10011,222066-webtirf,10011,2025-01-28 05:00:00,OTHER_DISRUPTION,G000007,0,0,2.196670277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_223065-webtirf_10011,223065-webtirf,10011,2025-02-06 20:00:00,ACCIDENT,G000008,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_223348-webtirf_10011,223348-webtirf,10011,2025-02-09 21:00:00,OTHER_DISRUPTION,G000009,0,0,0.8553111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_225542-webtirf_10011,225542-webtirf,10011,2025-03-03 19:00:00,OTHER_DISRUPTION,G000010,0,0,1.0276775,0.0,-0.9230769230769231,2.772588722239781,0.23076923076923078,2.5649493574615367,0.0,2.4849066497880004,-0.07692307692307693,1.6094379124341003,-0.6153846153846154,1.9459101490553132,-0.46153846153846156,1.791759469228055,-0.5384615384615384,9.0,6.5,-2.5,4.0,0.9230769230769231,6.000000000000002,-1.6000000000000012,train
INC_227604-webtirf_10011,227604-webtirf,10011,2025-03-16 00:00:00,OTHER_DISRUPTION,G000011,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_227875-webtirf_10011,227875-webtirf,10011,2025-03-18 12:00:00,OTHER_DISRUPTION,G000012,0,0,2.828144722222222,5.627621113690637,-0.09740259740259741,5.730099782973574,0.0,5.87493073085203,0.15584415584415584,5.749392985908253,0.01948051948051948,5.846438775057725,0.12337662337662338,5.860786223465865,0.1396103896103896,6.077642243349034,0.4155844155844156,313.0,360.75,47.75,313.0,0.4155844155844156,39.00000000000002,37.09999999999996,train
INC_227942-webtirf_10011,227942-webtirf,10011,2025-03-19 02:00:00,OTHER_DISRUPTION,G000013,0,0,0.7443444444444444,0.0,-0.9473684210526315,3.2188758248682006,0.3157894736842105,2.9444389791664403,0.0,2.5649493574615367,-0.3157894736842105,2.772588722239781,-0.15789473684210525,2.8903717578961645,-0.05263157894736842,4.852030263919617,5.0,14.0,42.75,28.75,12.0,5.0,9.0,34.7,train
INC_229247-webtirf_10011,229247-webtirf,10011,2025-03-28 07:00:00,OTHER_DISRUPTION,G000014,0,0,0.5,3.258096538021482,-0.7291666666666666,4.564348191467836,0.0,5.877735781779639,2.71875,5.749392985908253,2.2708333333333335,5.493061443340548,1.53125,5.66988092298052,2.0208333333333335,5.5134287461649825,1.5833333333333333,158.66666666666666,272.75,114.08333333333334,242.0,2.71875,165.50000000000003,-15.100000000000048,train
INC_229624-webtirf_10011,229624-webtirf,10011,2025-03-30 16:00:00,OTHER_DISRUPTION,G000015,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_230250.0-webtirf_10011,230250.0-webtirf,10011,2025-04-03 08:00:00,ACCIDENT,G000016,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_230436-webtirf_10011,230436-webtirf,10011,2025-04-05 01:00:00,OTHER_DISRUPTION,G000017,0,0,0.6461263888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_230746-webtirf_10011,230746-webtirf,10011,2025-04-08 12:00:00,OTHER_DISRUPTION,G000018,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_231592-webtirf_10011,231592-webtirf,10011,2025-04-15 22:00:00,OTHER_DISRUPTION,G000019,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_232619-webtirf_10011,232619-webtirf,10011,2025-04-26 11:00:00,OTHER_DISRUPTION,G000020,0,0,0.5418152777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_234658-webtirf_10011,234658-webtirf,10011,2025-05-15 04:00:00,OTHER_DISRUPTION,G000021,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_236245-webtirf_10011,236245-webtirf,10011,2025-05-22 21:00:00,OTHER_DISRUPTION,G000022,0,0,1.1477680555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_236855-webtirf_10011,236855-webtirf,10011,2025-05-26 04:00:00,ACCIDENT,G000023,0,0,1.0347069444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_239895-webtirf_10011,239895-webtirf,10011,2025-06-23 05:00:00,OTHER_DISRUPTION,G000024,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_241047-webtirf_10011,241047-webtirf,10011,2025-07-02 03:00:00,OTHER_DISRUPTION,G000025,0,0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_241285-webtirf_10011,241285-webtirf,10011,2025-07-04 02:00:00,OTHER_DISRUPTION,G000026,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_241668-webtirf_10011,241668-webtirf,10011,2025-07-09 03:00:00,OTHER_DISRUPTION,G000027,0,0,0.6542580555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_241875-webtirf_10011,241875-webtirf,10011,2025-07-10 17:00:00,ACCIDENT,G000028,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_242502-webtirf_10011,242502-webtirf,10011,2025-07-17 05:00:00,OTHER_DISRUPTION,G000029,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_243678-webtirf_10011,243678-webtirf,10011,2025-07-29 06:00:00,OTHER_DISRUPTION,G000030,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_243850.0-webtirf_10011,243850.0-webtirf,10011,2025-07-30 21:00:00,OTHER_DISRUPTION,G000031,0,0,3.735505555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_243928-webtirf_10011,243928-webtirf,10011,2025-07-31 03:00:00,OTHER_DISRUPTION,G000031,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_245534-webtirf_10011,245534-webtirf,10011,2025-08-12 23:00:00,OTHER_DISRUPTION,G000032,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_245981-webtirf_10011,245981-webtirf,10011,2025-08-17 17:00:00,OTHER_DISRUPTION,G000033,0,0,0.6647144444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_247611-webtirf_10011,247611-webtirf,10011,2025-08-29 02:00:00,OTHER_DISRUPTION,G000034,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_250287-webtirf_10011,250287-webtirf,10011,2025-09-22 04:00:00,ACCIDENT,G000035,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
