sample_id,incident_id,station_id,anchor_time,target,split_group_id,is_control,control_fallback_flag,duration_hours,log_flow_m3,rel_change_m3,log_flow_m2,rel_change_m2,log_flow_m1,rel_change_m1,log_flow_p0,rel_change_p0,log_flow_p1,rel_change_p1,log_flow_p2,rel_change_p2,log_flow_p3,rel_change_p3,pre_mean,response_mean,mean_shift,response_min,max_abs_relative_change,pre_slope,response_slope,partition
INC_240340.0-webtirf_100001,240340.0-webtirf,100001,2025-06-27 00:00:00,ACCIDENT,G000001,0,0,0.5,6.472346294500901,0.3707627118644068,6.156978985585555,0.0,5.666426688112432,-0.3877118644067797,5.187385805840755,-0.6207627118644068,4.820281565605037,-0.7372881355932204,4.465908118654584,-0.815677966101695,5.030437921392435,-0.6758474576271186,468.3333333333333,134.75,-333.5833333333333,86.0,0.815677966101695,-178.99999999999991,-11.500000000000037,train
INC_247639-webtirf_100001,247639-webtirf,100001,2025-08-29 05:00:00,ACCIDENT,G000002,0,0,1.27347,4.543294782270004,-0.2033898305084746,4.770684624465665,0.0,5.424950017481403,0.923728813559322,6.1779441140506,3.0847457627118646,6.775366090936392,5.0,6.96979066990159,5.0,7.060476365999801,5.0,145.33333333333334,895.75,750.4166666666666,481.0,5.0,66.50000000000001,223.69999999999993,train
INC_250888-webtirf_100001,250888-webtirf,100001,2025-09-27 13:00:00,ACCIDENT,G000003,0,0,0.5,4.77912349311153,0.00847457627118644,4.48863636973214,-0.2457627118644068,4.770684624465665,0.0,4.6913478822291435,-0.07627118644067797,4.406719247264253,-0.3050847457627119,4.465908118654584,-0.2627118644067797,4.343805421853684,-0.3474576271186441,107.66666666666667,87.75,-19.91666666666667,76.0,0.3474576271186441,-0.4999999999999863,-9.100000000000016,train
INC_219957-webtirf_10011,219957-webtirf,10011,2025-01-08 19:00:00,ACCIDENT,G000004,0,0,1.202793888888889,7.3632795869630385,0.0,7.457609289715606,0.09892200380469246,7.301822342137932,-0.05960684844641725,6.77078942390898,-0.44705136334812934,6.593044534142437,-0.5370957514267597,6.620073206530356,-0.5244134432466709,6.257667587882639,-0.6689917564996829,1596.6666666666667,717.5,-879.1666666666667,521.0,0.6689917564996829,-46.999999999999865,-103.00000000000007,train
INC_221139-webtirf_10011,221139-webtirf,10011,2025-01-17 21:00:00,OTHER_DISRUPTION,G000005,0,0,1.5214816666666666,4.59511985013459,1.3571428571428572,3.7376696182833684,0.0,3.6375861597263857,-0.09523809523809523,3.4339872044851463,-0.2619047619047619,3.091042453358316,-0.47619047619047616,2.5649493574615367,-0.6904761904761905,2.4849066497880004,-0.7142857142857143,58.666666666666664,18.5,-40.166666666666664,11.0,1.3571428571428572,-30.499999999999993,-6.600000000000003,train
INC_221259-webtirf_10011,221259-webtirf,10011,2025-01-18 23:00:00,ACCIDENT,G000006,0,0,0.5,3.912023005428146,0.8518518518518519,3.295836866004329,0.0,3.258096538021482,-0.037037037037037035,3.1354942159291497,-0.14814814814814814,6.814542897259958,5.0,6.395261598115449,5.0,6.0844994130751715,5.0,33.333333333333336,492.0,458.6666666666667,22.0,5.0,-11.999999999999996,93.6,train
INC_222066-webtirf_10011,222066-webtirf,10011,2025-01-28 05:00:00,OTHER_DISRUPTION,G000007,0,0,2.196670277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_223065-webtirf_10011,223065-webtirf,10011,2025-02-06 20:00:00,ACCIDENT,G000008,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_223348-webtirf_10011,223348-webtirf,10011,2025-02-09 21:00:00,OTHER_DISRUPTION,G000009,0,0,0.8553111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
INC_225542-webtirf_10011,225542-webtirf,10011,2025-03-03 19:00:00,OTHER_DISRUPTION,G000010,0,0,1.0276775,0.0,-0.9230769230769231,2.772588722239781,0.23076923076923078,2.5649493574615367,0.0,2.4849066497880004,-0.07692307692307693,1.6094379124341003,-0.6153846153846154,1.9459101490553132,-0.46153846153846156,1.791759469228055,-0.5384615384615384,9.0,6.5,-2.5,4.0,0.9230769230769231,6.000000000000002,-1.6000000000000012,train
